epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6851,4.8066,3.52159,4.18349,0.01612,0.04674,0.00857,0.00213,5.39557,3.27679,3.81328,0.0704839,0.00327957,0.00327957
2,65.3819,3.90208,2.46109,3.60083,0.12386,0.35908,0.10875,0.03447,3.83388,3.03744,3.20567,0.0404511,0.00658017,0.00658017
3,89.8606,2.56399,1.93749,2.61725,0.32553,0.34535,0.26168,0.06339,3.31966,1.98917,2.76324,0.0103854,0.00984777,0.00984777
4,113.466,2.02656,1.39124,2.10452,0.5543,0.47443,0.49776,0.18715,2.56786,1.74538,2.23533,0.0098515,0.0098515,0.0098515
5,136.44,1.75537,1.09372,1.82699,0.75835,0.61947,0.70325,0.29228,2.09908,1.33372,1.97758,0.009802,0.009802,0.009802
6,159.308,1.55723,0.96423,1.67491,0.83658,0.70871,0.81617,0.41359,1.80108,1.13007,1.75371,0.0097525,0.0097525,0.0097525
7,182.07,1.39738,0.82738,1.4956,0.86991,0.70235,0.81249,0.42287,1.78536,1.11752,1.73025,0.009703,0.009703,0.009703
8,204.838,1.30185,0.74821,1.41131,0.87275,0.75778,0.85296,0.45377,1.70762,1.00952,1.66236,0.0096535,0.0096535,0.0096535
9,227.777,1.23473,0.69353,1.33483,0.89443,0.79338,0.88642,0.51588,1.54141,0.92522,1.54541,0.009604,0.009604,0.009604
10,250.485,1.17513,0.6484,1.28826,0.8939,0.79355,0.88252,0.545,1.46111,0.87865,1.50047,0.0095545,0.0095545,0.0095545
11,273.36,1.12078,0.61186,1.25081,0.90777,0.80421,0.89816,0.51597,1.56464,0.8855,1.56008,0.009505,0.009505,0.009505
12,295.086,1.09349,0.58136,1.23054,0.90856,0.83921,0.91253,0.52951,1.52966,0.85581,1.55696,0.0094555,0.0094555,0.0094555
13,316.441,1.06084,0.5662,1.20468,0.91896,0.83514,0.91836,0.59906,1.30428,0.78615,1.38122,0.009406,0.009406,0.009406
14,339.002,1.0317,0.54063,1.16989,0.91463,0.83076,0.9085,0.52254,1.55793,0.82517,1.60157,0.0093565,0.0093565,0.0093565
15,360.489,1.00492,0.52387,1.18675,0.9168,0.84073,0.92314,0.57249,1.37196,0.8138,1.42735,0.009307,0.009307,0.009307
