epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3247,4.71925,3.60909,4.20036,0.01372,0.03977,0.00736,0.00189,5.36886,3.21303,3.81996,0.0704839,0.00327957,0.00327957
2,53.79,4.00452,2.64961,3.79946,0.09968,0.28897,0.08257,0.02291,3.77039,2.93168,3.30441,0.0404511,0.00658017,0.00658017
3,73.2942,2.99126,2.11759,2.86138,0.09898,0.2646,0.08764,0.02295,3.75788,inf,3.13005,0.0103854,0.00984777,0.00984777
4,91.7989,2.20876,1.63213,2.23746,0.47982,0.30097,0.32198,0.07174,3.56331,3.38209,3.01673,0.0098515,0.0098515,0.0098515
5,108.655,1.88015,1.24358,1.91429,0.71586,0.56319,0.63613,0.2385,2.34695,1.54924,2.14817,0.009802,0.009802,0.009802
6,125.272,1.63791,1.04413,1.73803,0.82754,0.64503,0.76439,0.36473,1.96999,1.26104,1.87521,0.0097525,0.0097525,0.0097525
7,141.985,1.47099,0.91169,1.54856,0.89051,0.68692,0.8095,0.40655,1.86218,1.14738,1.73552,0.009703,0.009703,0.009703
8,158.36,1.3939,0.81611,1.47337,0.84537,0.70715,0.80977,0.29649,2.16735,1.20317,1.99441,0.0096535,0.0096535,0.0096535
9,174.051,1.30916,0.76068,1.38634,0.87046,0.75141,0.85285,0.44394,1.79854,1.02665,1.71954,0.009604,0.009604,0.009604
10,190.402,1.25597,0.71136,1.34043,0.86919,0.75658,0.85491,0.46217,1.70738,0.97472,1.64285,0.0095545,0.0095545,0.0095545
11,206.701,1.1859,0.67489,1.29434,0.85768,0.75753,0.84784,0.38493,1.98317,0.99654,1.90795,0.009505,0.009505,0.009505
12,222.25,1.15706,0.63259,1.26729,0.89349,0.79099,0.8834,0.50338,1.57199,0.91875,1.55624,0.0094555,0.0094555,0.0094555
