epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0403,4.48428,3.44815,3.99765,0.02364,0.06853,0.01264,0.00382,4.55682,2.74526,3.51833,0.0704839,0.00327957,0.00327957
2,46.5022,3.84643,2.79226,3.49805,0.0949,0.20232,0.06838,0.01529,3.60821,2.65875,3.12984,0.0404511,0.00658017,0.00658017
3,62.4942,3.19919,2.27412,2.9082,0.12843,0.3115,0.10393,0.03084,3.27875,2.44415,2.73613,0.0103854,0.00984777,0.00984777
4,78.3863,2.36459,1.73826,2.33487,0.33759,0.45854,0.35804,0.15198,2.41267,inf,2.3318,0.0098515,0.0098515,0.0098515
5,91.4617,1.99925,1.39386,2.00132,0.65331,0.58433,0.61874,0.25523,2.1474,1.70889,2.02693,0.009802,0.009802,0.009802
6,104.049,1.79989,1.22052,1.85319,0.77541,0.62838,0.70959,0.29565,2.13878,1.40213,2.0086,0.0097525,0.0097525,0.0097525
7,116.189,1.63418,1.07703,1.6699,0.83976,0.6611,0.77336,0.35911,1.97002,1.27996,1.87921,0.009703,0.009703,0.009703
8,128.052,1.55508,0.98472,1.59445,0.86272,0.67033,0.78773,0.34575,2.07266,1.26227,1.97196,0.0096535,0.0096535,0.0096535
9,139.865,1.48074,0.92468,1.51301,0.87026,0.66699,0.79695,0.3981,1.90071,1.19121,1.82804,0.009604,0.009604,0.009604
10,152.379,1.43518,0.87965,1.47249,0.87092,0.68147,0.79988,0.43857,1.74054,1.16246,1.67362,0.0095545,0.0095545,0.0095545
11,164.111,1.36593,0.84462,1.42137,0.8648,0.68962,0.80912,0.39229,1.91156,1.14507,1.85681,0.009505,0.009505,0.009505
12,175.723,1.32915,0.79888,1.38973,0.87513,0.70111,0.82311,0.38685,1.90109,1.11271,1.83093,0.0094555,0.0094555,0.0094555
13,187.615,1.30012,0.7854,1.37283,0.88932,0.71593,0.83147,0.47962,1.59724,1.06258,1.56777,0.009406,0.009406,0.009406
14,199.534,1.27278,0.75262,1.33405,0.89748,0.69907,0.81797,0.40362,1.89272,1.09312,1.84962,0.0093565,0.0093565,0.0093565
15,211.637,1.22555,0.73539,1.34333,0.90131,0.71259,0.83581,0.46596,1.66188,1.07136,1.60489,0.009307,0.009307,0.009307
16,223.295,1.233,0.72677,1.30617,0.88157,0.71075,0.83697,0.47301,1.64483,1.01415,1.63938,0.0092575,0.0092575,0.0092575
17,234.845,1.22542,0.71762,1.30776,0.86763,0.71816,0.83296,0.42818,1.81376,1.03937,1.7739,0.009208,0.009208,0.009208
18,246.889,1.16867,0.66927,1.27143,0.88784,0.74112,0.85531,0.45865,1.66623,0.9937,1.64281,0.0091585,0.0091585,0.0091585
19,258.642,1.17225,0.67305,1.28432,0.886,0.76121,0.866,0.44333,1.80362,0.97733,1.80249,0.009109,0.009109,0.009109
20,270.65,1.13973,0.65029,1.26108,0.88579,0.75835,0.869,0.51094,1.51406,0.94187,1.51741,0.0090595,0.0090595,0.0090595
21,282.513,1.12834,0.64824,1.265,0.88206,0.77559,0.87688,0.48601,1.6395,0.92687,1.64382,0.00901,0.00901,0.00901
22,294.623,1.12009,0.61915,1.23036,0.87861,0.78425,0.88276,0.49492,1.56681,0.95672,1.55343,0.0089605,0.0089605,0.0089605
23,306.451,1.11197,0.61573,1.23232,0.87987,0.77271,0.8722,0.50789,1.55917,0.93142,1.53985,0.008911,0.008911,0.008911
24,318.601,1.10049,0.60137,1.2126,0.883,0.79265,0.88573,0.50001,1.59392,0.88866,1.57946,0.0088615,0.0088615,0.0088615
25,330.74,1.07492,0.59197,1.20545,0.89541,0.81082,0.90121,0.47866,1.66292,0.92264,1.66237,0.008812,0.008812,0.008812
26,342.007,1.08042,0.57999,1.21542,0.88715,0.81693,0.90108,0.51277,1.57339,0.87489,1.57943,0.0087625,0.0087625,0.0087625
27,353.669,1.07057,0.56717,1.1904,0.89775,0.82513,0.90982,0.51159,1.56723,0.85479,1.5675,0.008713,0.008713,0.008713
