epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5241,4.68476,3.38751,4.08169,0.0258,0.07478,0.01404,0.00355,4.95965,2.98958,3.62962,0.0704839,0.00327957,0.00327957
2,49.5758,3.97827,2.68297,3.58402,0.09227,0.26748,0.08312,0.02036,3.75099,2.88042,3.18488,0.0404511,0.00658017,0.00658017
3,67.2063,3.09277,2.14773,2.85989,0.12418,0.19992,0.08449,0.02208,3.765,3.04621,3.29952,0.0103854,0.00984777,0.00984777
4,83.3734,2.26175,1.64904,2.23723,0.11527,0.21933,0.07365,0.01783,3.96481,2.93044,3.14752,0.0098515,0.0098515,0.0098515
5,97.6208,1.94556,1.27533,1.96252,0.70615,0.60833,0.65561,0.27497,2.21042,1.57257,2.07471,0.009802,0.009802,0.009802
6,112.005,1.71537,1.10818,1.79228,0.80274,0.64034,0.73554,0.28741,2.17926,1.45176,2.06299,0.0097525,0.0097525,0.0097525
7,126.39,1.55396,0.96444,1.61077,0.86966,0.68987,0.80657,0.38459,1.92806,1.2561,1.83943,0.009703,0.009703,0.009703
8,140.763,1.46699,0.88292,1.53503,0.85798,0.71098,0.82028,0.3617,2.01818,1.25022,1.90653,0.0096535,0.0096535,0.0096535
9,154.666,1.38697,0.82279,1.44853,0.8921,0.71629,0.84725,0.44401,1.75037,1.11089,1.71203,0.009604,0.009604,0.009604
10,168.815,1.32266,0.78159,1.39898,0.88209,0.73348,0.85563,0.43495,1.76967,1.05246,1.71403,0.0095545,0.0095545,0.0095545
11,182.479,1.25724,0.73459,1.34912,0.87963,0.77953,0.87918,0.42606,1.9069,0.99208,1.844,0.009505,0.009505,0.009505
12,196.162,1.23098,0.69489,1.32693,0.88321,0.78684,0.88114,0.40987,1.94577,1.04193,1.88999,0.0094555,0.0094555,0.0094555
13,209.639,1.20036,0.67834,1.30128,0.87244,0.81315,0.89556,0.50351,1.62611,0.95263,1.60796,0.009406,0.009406,0.009406
14,223.446,1.16507,0.64471,1.25981,0.87434,0.80125,0.88583,0.43666,1.85162,0.97386,1.82484,0.0093565,0.0093565,0.0093565
15,237.11,1.12509,0.62265,1.27214,0.9065,0.84707,0.92094,0.48204,1.71731,0.92919,1.69786,0.009307,0.009307,0.009307
16,250.593,1.13409,0.61695,1.23935,0.89893,0.82654,0.90766,0.51539,1.59729,0.86911,1.58447,0.0092575,0.0092575,0.0092575
17,264.454,1.11375,0.60728,1.23005,0.9128,0.85318,0.92462,0.52002,1.6163,0.84017,1.60392,0.009208,0.009208,0.009208
18,278.294,1.06104,0.56786,1.19987,0.91448,0.85372,0.92293,0.5141,1.59475,0.82598,1.59824,0.0091585,0.0091585,0.0091585
