epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0586,6.57387,3.87182,4.18656,8e-05,0.00023,4e-05,0,7.07721,3.79307,4.01269,0.0704839,0.00327957,0.00327957
2,30.6141,6.46226,3.43297,3.88181,8e-05,0.00023,4e-05,0,6.96469,3.44084,3.63217,0.0404511,0.00658017,0.00658017
3,42.9904,4.51819,2.06731,2.82147,0.163,0.38649,0.1381,0.03345,3.51365,1.97411,2.35246,0.0103854,0.00984777,0.00984777
4,54.9014,2.94735,1.52615,1.93104,0.33714,0.41506,0.30727,0.09659,3.04444,2.38288,1.86985,0.0098515,0.0098515,0.0098515
5,66.829,2.25429,1.18405,1.53176,0.64539,0.57593,0.60565,0.26358,2.34543,1.32911,1.47138,0.009802,0.009802,0.009802
6,78.5803,1.85296,0.99097,1.34542,0.71958,0.63054,0.69182,0.33067,2.0944,1.25183,1.35662,0.0097525,0.0097525,0.0097525
7,90.2471,1.62058,0.85623,1.18162,0.81012,0.68974,0.77407,0.39949,1.93546,1.08005,1.26091,0.009703,0.009703,0.009703
8,101.956,1.49549,0.78176,1.11624,0.79038,0.69185,0.77173,0.37034,1.95699,1.17198,1.25719,0.0096535,0.0096535,0.0096535
9,112.634,1.39098,0.72412,1.06545,0.86598,0.68559,0.80019,0.40108,1.92478,1.01426,1.27023,0.009604,0.009604,0.009604
10,124.279,1.32339,0.68372,1.03678,0.86678,0.72514,0.83158,0.45215,1.73888,0.90682,1.18636,0.0095545,0.0095545,0.0095545
11,136.088,1.25064,0.64806,1.0074,0.89027,0.73821,0.84451,0.417,1.91996,0.91193,1.25671,0.009505,0.009505,0.009505
12,147.269,1.21375,0.61984,0.99271,0.87168,0.73855,0.84937,0.41373,1.87423,0.95664,1.21408,0.0094555,0.0094555,0.0094555
13,158.24,1.17842,0.6009,0.98434,0.87156,0.74316,0.84824,0.45995,1.66844,0.92818,1.14251,0.009406,0.009406,0.009406
14,170.476,1.14449,0.58173,0.9646,0.88757,0.76087,0.86726,0.45357,1.73157,0.90559,1.15422,0.0093565,0.0093565,0.0093565
15,181.155,1.09688,0.56051,0.96418,0.88884,0.7684,0.87335,0.46796,1.68538,0.86416,1.13448,0.009307,0.009307,0.009307
16,192.953,1.10948,0.55786,0.95494,0.89198,0.76475,0.87117,0.48642,1.62368,0.81946,1.11545,0.0092575,0.0092575,0.0092575
17,205.024,1.0809,0.5473,0.94777,0.8937,0.75823,0.86717,0.49345,1.61402,0.82686,1.11489,0.009208,0.009208,0.009208
18,216.954,1.03358,0.52266,0.93266,0.89927,0.77541,0.87794,0.49536,1.61381,0.80643,1.11293,0.0091585,0.0091585,0.0091585
19,228.679,1.03708,0.52347,0.93927,0.90978,0.77089,0.87902,0.50823,1.54804,0.79433,1.08399,0.009109,0.009109,0.009109
20,240.416,1.00641,0.50896,0.92957,0.9153,0.7773,0.88461,0.54661,1.42518,0.7467,1.04158,0.0090595,0.0090595,0.0090595
21,251.974,0.99268,0.50315,0.92928,0.91053,0.79339,0.89276,0.52047,1.52209,0.76391,1.07458,0.00901,0.00901,0.00901
22,262.579,0.9828,0.49087,0.91652,0.9117,0.78298,0.88669,0.53543,1.47388,0.75804,1.05676,0.0089605,0.0089605,0.0089605
23,273.342,0.97165,0.48501,0.91444,0.91166,0.80824,0.9033,0.55768,1.39895,0.72275,1.03799,0.008911,0.008911,0.008911
24,286.293,0.9748,0.4834,0.90848,0.90574,0.7856,0.8888,0.53699,1.48466,0.77031,1.06188,0.0088615,0.0088615,0.0088615
25,296.947,0.94878,0.47158,0.90926,0.91073,0.8169,0.90501,0.52706,1.50394,0.75263,1.06956,0.008812,0.008812,0.008812
26,307.62,0.94705,0.46801,0.91043,0.91548,0.8081,0.90529,0.54581,1.45917,0.71637,1.05257,0.0087625,0.0087625,0.0087625
27,318.413,0.93048,0.45904,0.89808,0.92683,0.82772,0.91774,0.56572,1.41225,0.69275,1.0387,0.008713,0.008713,0.008713
28,330.473,0.93654,0.46342,0.90789,0.88711,0.82042,0.90137,0.54665,1.42896,0.75878,1.047,0.0086635,0.0086635,0.0086635
29,341.358,0.92338,0.45221,0.8953,0.91697,0.83204,0.91552,0.59008,1.28316,0.67113,1.00784,0.008614,0.008614,0.008614
30,353.143,0.90678,0.45028,0.90061,0.92261,0.84362,0.92134,0.59153,1.30165,0.68641,1.00512,0.0085645,0.0085645,0.0085645
