epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5903,6.17221,3.34787,3.8694,0.00023,0.00067,0.00012,2e-05,6.96843,3.45454,3.594,0.0704839,0.00327957,0.00327957
2,28.2021,3.93549,1.98797,2.53207,0.05601,0.16236,0.06712,0.017,5.007,2.51497,2.35604,0.0404511,0.00658017,0.00658017
3,39.2052,2.58978,1.44716,1.76011,0.17085,0.19495,0.11648,0.03519,4.00945,2.13564,2.89518,0.0103854,0.00984777,0.00984777
4,50.5527,2.0596,1.1176,1.42797,0.72265,0.61131,0.69498,0.29733,2.22709,1.85741,1.39667,0.0098515,0.0098515,0.0098515
5,61.0624,1.77441,0.95194,1.26476,0.76067,0.62201,0.702,0.29517,2.27983,1.26057,1.39021,0.009802,0.009802,0.009802
6,70.9008,1.58969,0.86916,1.19027,0.83672,0.70407,0.80787,0.39939,1.94074,1.114,1.25561,0.0097525,0.0097525,0.0097525
7,81.1058,1.43621,0.77689,1.09125,0.84305,0.69326,0.80483,0.37475,2.06817,1.03941,1.27911,0.009703,0.009703,0.009703
8,90.3065,1.3719,0.73792,1.05938,0.85327,0.70898,0.82927,0.38986,1.92668,1.12228,1.22028,0.0096535,0.0096535,0.0096535
9,99.4395,1.30447,0.69226,1.02668,0.85977,0.71778,0.83841,0.43189,1.80694,0.99094,1.18459,0.009604,0.009604,0.009604
10,109.658,1.24658,0.65316,1.00453,0.8707,0.74383,0.85086,0.49373,1.60951,0.88013,1.12726,0.0095545,0.0095545,0.0095545
11,119.795,1.18922,0.62705,0.98449,0.87659,0.75506,0.86074,0.49029,1.58812,0.87092,1.0966,0.009505,0.009505,0.009505
12,129.212,1.16692,0.603,0.97673,0.88688,0.79873,0.88532,0.4377,1.8311,0.89425,1.17481,0.0094555,0.0094555,0.0094555
13,138.312,1.13339,0.58713,0.96772,0.87617,0.80993,0.89717,0.50594,1.55853,0.83239,1.08518,0.009406,0.009406,0.009406
