epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5145,5.61348,3.03591,3.3737,0.00577,0.01672,0.00322,0.00063,6.10077,2.70295,2.69718,0.0704839,0.00327957,0.00327957
2,19.8124,3.59318,1.97838,2.22233,0.16331,0.45428,0.20256,0.05072,3.65419,2.16039,1.95251,0.0404511,0.00658017,0.00658017
3,26.596,2.61147,1.47204,1.71446,0.46388,0.41363,0.42248,0.16395,2.83278,1.64759,1.7064,0.0103854,0.00984777,0.00984777
4,33.2626,2.12801,1.1771,1.44037,0.6181,0.54736,0.58589,0.23145,2.47633,1.40161,1.48446,0.0098515,0.0098515,0.0098515
5,39.9298,1.85588,1.04438,1.29955,0.746,0.63818,0.71029,0.2974,2.22602,1.22996,1.39875,0.009802,0.009802,0.009802
6,46.713,1.68789,0.96474,1.23376,0.85259,0.69109,0.80092,0.37289,2.10208,1.11794,1.32281,0.0097525,0.0097525,0.0097525
7,53.5498,1.57381,0.88215,1.14768,0.85336,0.65905,0.73919,0.3541,2.2131,1.08025,1.36366,0.009703,0.009703,0.009703
8,60.1218,1.50648,0.83257,1.11286,0.8576,0.70174,0.80656,0.34604,2.16166,1.08197,1.33019,0.0096535,0.0096535,0.0096535
9,66.5017,1.44334,0.79398,1.07901,0.8763,0.70098,0.81656,0.41718,1.91936,0.97104,1.24516,0.009604,0.009604,0.009604
10,73.4466,1.39078,0.75888,1.05828,0.88322,0.69185,0.81244,0.4144,1.91402,1.00625,1.24522,0.0095545,0.0095545,0.0095545
11,80.0259,1.33902,0.73166,1.0367,0.88879,0.71308,0.82929,0.44732,1.7893,0.97659,1.18758,0.009505,0.009505,0.009505
12,87.3261,1.313,0.70293,1.02525,0.8916,0.70409,0.83523,0.38961,1.99205,1.00246,1.25441,0.0094555,0.0094555,0.0094555
13,94.1074,1.27517,0.68384,1.01739,0.89622,0.6836,0.77913,0.38946,2.12329,1.05067,1.34809,0.009406,0.009406,0.009406
14,100.951,1.23878,0.66137,0.99439,0.86813,0.76635,0.8736,0.43608,1.85433,0.98148,1.20691,0.0093565,0.0093565,0.0093565
15,107.493,1.19266,0.64155,0.99674,0.87204,0.7304,0.85107,0.40222,1.96526,0.94236,1.21561,0.009307,0.009307,0.009307
16,114.196,1.22406,0.64309,0.99146,0.90133,0.721,0.84207,0.4683,1.75788,0.91025,1.17372,0.0092575,0.0092575,0.0092575
17,120.952,1.18793,0.6334,0.9842,0.86873,0.76452,0.8689,0.42593,1.97998,0.93997,1.27162,0.009208,0.009208,0.009208
18,127.549,1.14682,0.59984,0.96734,0.87893,0.76446,0.86941,0.46642,1.76295,0.88516,1.1624,0.0091585,0.0091585,0.0091585
19,134.653,1.1476,0.60472,0.97402,0.88556,0.74482,0.86927,0.45771,1.79985,0.93296,1.19207,0.009109,0.009109,0.009109
20,140.981,1.12153,0.58999,0.96397,0.87725,0.75648,0.87078,0.46947,1.72367,0.88892,1.14168,0.0090595,0.0090595,0.0090595
21,147.62,1.1052,0.58521,0.96418,0.87541,0.77398,0.87303,0.47421,1.76263,0.87536,1.16427,0.00901,0.00901,0.00901
22,154.629,1.09764,0.56696,0.94936,0.86631,0.79728,0.88582,0.48266,1.75345,0.87021,1.16096,0.0089605,0.0089605,0.0089605
23,161.405,1.07653,0.56162,0.94731,0.88774,0.75882,0.86816,0.47388,1.74485,0.89127,1.15048,0.008911,0.008911,0.008911
24,167.886,1.08043,0.55788,0.94039,0.88311,0.77035,0.87532,0.49282,1.67052,0.85891,1.13041,0.0088615,0.0088615,0.0088615
25,174.693,1.05787,0.54722,0.94094,0.8825,0.77646,0.87837,0.47088,1.77198,0.89293,1.15818,0.008812,0.008812,0.008812
26,181.433,1.05693,0.54272,0.94287,0.88574,0.82389,0.90589,0.51729,1.63538,0.80935,1.11673,0.0087625,0.0087625,0.0087625
27,188.152,1.03135,0.53306,0.92869,0.87666,0.80242,0.89335,0.49472,1.66963,0.82437,1.12725,0.008713,0.008713,0.008713
28,194.822,1.04787,0.53699,0.94143,0.89927,0.74092,0.85772,0.50541,1.65961,0.86844,1.13289,0.0086635,0.0086635,0.0086635
29,201.331,1.04562,0.52684,0.93101,0.86961,0.79496,0.89081,0.52443,1.55425,0.81672,1.08777,0.008614,0.008614,0.008614
30,208.19,1.02274,0.52663,0.93511,0.88327,0.8234,0.90477,0.52604,1.53411,0.78951,1.07549,0.0085645,0.0085645,0.0085645
31,215.059,1.01371,0.52027,0.92961,0.88858,0.81391,0.89866,0.53284,1.53259,0.78058,1.08116,0.008515,0.008515,0.008515
32,222.253,0.99876,0.51389,0.93113,0.87757,0.78301,0.87828,0.51471,1.60958,0.79445,1.10225,0.0084655,0.0084655,0.0084655
33,228.713,1.00748,0.51164,0.92434,0.88291,0.78467,0.88481,0.53182,1.53013,0.77752,1.08746,0.008416,0.008416,0.008416
34,235.66,1.00183,0.50845,0.9198,0.88177,0.80774,0.89489,0.53422,1.54004,0.78683,1.08669,0.0083665,0.0083665,0.0083665
35,243.631,0.99583,0.5076,0.92401,0.90306,0.85767,0.92728,0.5445,1.53041,0.76483,1.06641,0.008317,0.008317,0.008317
36,251.068,0.9895,0.4957,0.90928,0.89301,0.83681,0.91774,0.5304,1.5565,0.77536,1.07284,0.0082675,0.0082675,0.0082675
37,257.989,0.97462,0.49528,0.91582,0.89153,0.83928,0.91566,0.54897,1.47533,0.74135,1.06055,0.008218,0.008218,0.008218
38,266.57,0.97739,0.49271,0.91432,0.90581,0.86202,0.9324,0.56454,1.46485,0.71673,1.06593,0.0081685,0.0081685,0.0081685
39,275.578,0.9628,0.48608,0.91211,0.90451,0.83217,0.91524,0.51716,1.61794,0.75621,1.10694,0.008119,0.008119,0.008119
40,282.356,0.95372,0.4824,0.90887,0.90991,0.85993,0.93075,0.56105,1.45079,0.72523,1.05147,0.0080695,0.0080695,0.0080695
41,290.8,0.9579,0.48083,0.90955,0.92041,0.85431,0.93235,0.57678,1.40439,0.69008,1.0388,0.00802,0.00802,0.00802
42,300.349,0.96629,0.48694,0.91099,0.89474,0.83547,0.91849,0.54326,1.48997,0.74063,1.06501,0.0079705,0.0079705,0.0079705
43,308.086,0.95842,0.48161,0.90516,0.89642,0.85753,0.92734,0.56024,1.44869,0.75215,1.04627,0.007921,0.007921,0.007921
44,315.186,0.95239,0.47814,0.90613,0.89892,0.85518,0.9274,0.58114,1.36787,0.71382,1.02742,0.0078715,0.0078715,0.0078715
45,322.031,0.93321,0.47406,0.9064,0.90048,0.82899,0.91327,0.55212,1.48269,0.723,1.05491,0.007822,0.007822,0.007822
46,330.115,0.9328,0.46965,0.89928,0.91303,0.84898,0.92649,0.55683,1.47095,0.718,1.0471,0.0077725,0.0077725,0.0077725
47,338.009,0.93061,0.46483,0.89927,0.91201,0.86892,0.9339,0.55106,1.45652,0.72569,1.0521,0.007723,0.007723,0.007723
48,345.405,0.92977,0.4663,0.90291,0.9072,0.85026,0.92424,0.53654,1.54902,0.7437,1.07576,0.0076735,0.0076735,0.0076735
49,351.871,0.9296,0.46512,0.90165,0.9243,0.86504,0.93477,0.57713,1.39011,0.68677,1.03418,0.007624,0.007624,0.007624
50,358.941,0.92023,0.46399,0.90227,0.92639,0.87759,0.94116,0.57458,1.40835,0.68626,1.03061,0.0075745,0.0075745,0.0075745
51,366.066,0.91149,0.45673,0.89713,0.91588,0.87069,0.93656,0.54857,1.49064,0.72106,1.05561,0.007525,0.007525,0.007525
52,374.793,0.91001,0.45525,0.89735,0.90914,0.86027,0.9311,0.56467,1.44014,0.70413,1.03386,0.0074755,0.0074755,0.0074755
53,381.57,0.92119,0.45738,0.8944,0.90924,0.88271,0.93718,0.5836,1.37388,0.69363,1.02338,0.007426,0.007426,0.007426
54,390.47,0.90922,0.45283,0.8964,0.92067,0.88396,0.94092,0.56152,1.45801,0.69985,1.04153,0.0073765,0.0073765,0.0073765
55,396.982,0.89448,0.44815,0.89654,0.9327,0.88829,0.94614,0.58681,1.37509,0.68377,1.02052,0.007327,0.007327,0.007327
56,404.468,0.89175,0.4459,0.88886,0.93702,0.88084,0.94284,0.59521,1.34564,0.66126,1.01612,0.0072775,0.0072775,0.0072775
57,411.097,0.89211,0.44838,0.89665,0.91587,0.88725,0.94172,0.58284,1.37777,0.69038,1.02343,0.007228,0.007228,0.007228
58,417.711,0.89616,0.44453,0.88876,0.91983,0.86865,0.93517,0.59118,1.35015,0.66123,1.00706,0.0071785,0.0071785,0.0071785
59,424.72,0.89049,0.44345,0.89005,0.91138,0.88336,0.93974,0.5853,1.3604,0.68765,1.01888,0.007129,0.007129,0.007129
60,431.484,0.89886,0.44695,0.8901,0.92796,0.88438,0.94212,0.57627,1.3914,0.68355,1.02818,0.0070795,0.0070795,0.0070795
61,438.385,0.89114,0.44358,0.88821,0.9217,0.88507,0.94383,0.5866,1.36691,0.68269,1.01253,0.00703,0.00703,0.00703
62,444.85,0.86581,0.43569,0.89205,0.9269,0.89309,0.94636,0.58341,1.39235,0.69141,1.02194,0.0069805,0.0069805,0.0069805
63,451.439,0.88807,0.44214,0.8872,0.93421,0.86722,0.93788,0.59155,1.36506,0.66528,1.0176,0.006931,0.006931,0.006931
64,458.034,0.8857,0.4422,0.88973,0.9266,0.87201,0.9385,0.57179,1.41934,0.68596,1.03457,0.0068815,0.0068815,0.0068815
65,464.693,0.87447,0.4344,0.8852,0.9305,0.8879,0.94614,0.59746,1.34155,0.67483,1.0064,0.006832,0.006832,0.006832
66,471.564,0.87305,0.43092,0.88789,0.93813,0.87313,0.94432,0.60124,1.34026,0.64872,1.00479,0.0067825,0.0067825,0.0067825
67,478.778,0.87596,0.43093,0.88203,0.93859,0.87323,0.94116,0.56116,1.46028,0.6823,1.05105,0.006733,0.006733,0.006733
68,485.311,0.87047,0.43085,0.88036,0.91414,0.87977,0.9405,0.57782,1.39224,0.69168,1.0201,0.0066835,0.0066835,0.0066835
69,492.124,0.8621,0.43031,0.88259,0.94481,0.88038,0.94609,0.60452,1.322,0.65219,0.99611,0.006634,0.006634,0.006634
70,498.917,0.86218,0.43106,0.88654,0.93521,0.88446,0.94509,0.59309,1.34687,0.6395,1.00651,0.0065845,0.0065845,0.0065845
71,505.469,0.86129,0.42711,0.8829,0.92415,0.88911,0.94374,0.60076,1.32423,0.67573,1.00011,0.006535,0.006535,0.006535
72,512.118,0.84795,0.42309,0.8846,0.93547,0.89979,0.95007,0.57164,1.43842,0.68383,1.03446,0.0064855,0.0064855,0.0064855
73,518.583,0.86499,0.42818,0.8825,0.93886,0.88743,0.94785,0.59715,1.35022,0.64638,1.00837,0.006436,0.006436,0.006436
74,525.217,0.85354,0.42161,0.88262,0.93671,0.89589,0.94912,0.58417,1.39631,0.67489,1.01894,0.0063865,0.0063865,0.0063865
75,531.955,0.86127,0.4253,0.87839,0.93758,0.8925,0.94789,0.60153,1.32524,0.65197,0.99887,0.006337,0.006337,0.006337
76,538.55,0.8525,0.42108,0.88049,0.93615,0.88903,0.94755,0.60203,1.32596,0.65489,0.9954,0.0062875,0.0062875,0.0062875
77,545.339,0.84971,0.41994,0.87917,0.94164,0.87332,0.94483,0.60603,1.33445,0.64362,1.00941,0.006238,0.006238,0.006238
78,551.968,0.84433,0.41603,0.88021,0.93805,0.89171,0.94927,0.5975,1.34533,0.65335,1.00823,0.0061885,0.0061885,0.0061885
79,558.664,0.83478,0.41457,0.87669,0.9452,0.89983,0.95339,0.58129,1.38747,0.65768,1.01926,0.006139,0.006139,0.006139
80,565.259,0.84847,0.41863,0.876,0.94667,0.88673,0.95031,0.6166,1.27777,0.63419,0.9896,0.0060895,0.0060895,0.0060895
81,571.978,0.83782,0.41544,0.87484,0.94563,0.88945,0.95027,0.58595,1.40855,0.6679,1.0387,0.00604,0.00604,0.00604
82,578.399,0.83839,0.41175,0.87485,0.94364,0.89631,0.95253,0.59312,1.36906,0.64256,1.01483,0.0059905,0.0059905,0.0059905
