epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5279,6.00394,3.19161,3.7013,0.00065,0.00187,0.00033,9e-05,6.85886,3.21524,3.35135,0.0704839,0.00327957,0.00327957
2,20.9597,3.72698,1.88022,2.31742,0.08141,0.236,0.09903,0.02088,4.48883,2.15532,2.10005,0.0404511,0.00658017,0.00658017
3,28.9109,2.49995,1.36318,1.73304,0.45787,0.40843,0.40921,0.14408,2.96114,1.60382,1.67505,0.0103854,0.00984777,0.00984777
4,36.7534,2.00664,1.07497,1.42574,0.57574,0.48896,0.52275,0.15072,2.92261,1.50157,1.64227,0.0098515,0.0098515,0.0098515
5,44.3059,1.76007,0.95948,1.27727,0.77721,0.64207,0.72129,0.31865,2.21674,1.1263,1.3916,0.009802,0.009802,0.009802
6,52.3933,1.57809,0.8855,1.19985,0.84665,0.67229,0.77249,0.33955,2.23862,1.10065,1.39503,0.0097525,0.0097525,0.0097525
7,60.2284,1.49774,0.80305,1.11638,0.87267,0.69894,0.81306,0.40363,1.93493,1.04141,1.25581,0.009703,0.009703,0.009703
8,68.102,1.40939,0.75587,1.07688,0.88288,0.68846,0.81544,0.3796,2.05406,1.02288,1.29908,0.0096535,0.0096535,0.0096535
9,75.3663,1.34828,0.71636,1.04406,0.88499,0.72391,0.84309,0.44416,1.79242,0.94623,1.1976,0.009604,0.009604,0.009604
10,86.7299,1.28851,0.68646,1.02152,0.91259,0.70545,0.83018,0.44254,1.88679,0.93637,1.23433,0.0095545,0.0095545,0.0095545
11,96.5343,1.24518,0.66604,1.00653,0.90733,0.70911,0.84163,0.4865,1.6846,0.92436,1.17159,0.009505,0.009505,0.009505
12,108.123,1.21804,0.63844,0.99367,0.91445,0.72348,0.84308,0.42239,1.956,0.95548,1.26694,0.0094555,0.0094555,0.0094555
13,118.717,1.1905,0.62145,0.9868,0.91132,0.7213,0.83845,0.44888,1.87344,0.88466,1.23041,0.009406,0.009406,0.009406
14,129.594,1.15445,0.60104,0.96677,0.87898,0.78065,0.88687,0.47218,1.7153,0.87137,1.15905,0.0093565,0.0093565,0.0093565
15,138.808,1.10055,0.58074,0.96688,0.88437,0.74288,0.8611,0.49504,1.63416,0.85784,1.12946,0.009307,0.009307,0.009307
16,148.402,1.13403,0.58379,0.96142,0.89807,0.74541,0.86286,0.48195,1.73832,0.89269,1.1699,0.0092575,0.0092575,0.0092575
17,157.197,1.09819,0.57378,0.95457,0.90774,0.79021,0.89259,0.521,1.58507,0.79806,1.10514,0.009208,0.009208,0.009208
18,169.086,1.05415,0.54807,0.9401,0.90619,0.78612,0.87842,0.47204,1.75289,0.84053,1.19181,0.0091585,0.0091585,0.0091585
19,177.777,1.06273,0.5479,0.94692,0.90463,0.80953,0.89536,0.48444,1.73169,0.82438,1.17309,0.009109,0.009109,0.009109
20,188.939,1.02929,0.53529,0.93751,0.90793,0.81758,0.91022,0.54787,1.47396,0.78504,1.0556,0.0090595,0.0090595,0.0090595
21,201.702,1.01649,0.53002,0.93567,0.91294,0.82652,0.91699,0.52596,1.60349,0.78327,1.10848,0.00901,0.00901,0.00901
22,210.29,1.01194,0.51766,0.92442,0.91404,0.84181,0.92264,0.53829,1.5407,0.76644,1.07366,0.0089605,0.0089605,0.0089605
23,218.391,0.99531,0.51015,0.92147,0.91872,0.83772,0.92121,0.53601,1.53306,0.76744,1.08205,0.008911,0.008911,0.008911
