epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2941,6.55568,3.98419,4.30825,0,0,0,0,7.09855,4.12106,4.12205,0.0704839,0.00327957,0.00327957
2,37.3408,6.31056,3.61725,4.16075,4e-05,0.00013,2e-05,0,7.1051,4.1454,4.1689,0.0404511,0.00658017,0.00658017
3,54.3057,5.17594,2.75216,3.37232,0.02837,0.06798,0.01498,0.00333,nan,nan,nan,0.0103854,0.00984777,0.00984777
4,70.7945,3.00788,1.68345,2.00591,0.08521,0.20264,0.05041,0.01276,nan,nan,nan,0.0098515,0.0098515,0.0098515
5,87.3188,2.25521,1.25207,1.55216,0.72137,0.51997,0.5959,0.21943,2.86047,1.44812,1.62274,0.009802,0.009802,0.009802
6,103.951,1.86173,0.99644,1.35593,0.76132,0.6209,0.71731,0.32831,2.1275,1.26408,1.33708,0.0097525,0.0097525,0.0097525
7,120.634,1.64895,0.86522,1.19342,0.8615,0.67297,0.79409,0.36725,2.06568,1.07653,1.29635,0.009703,0.009703,0.009703
8,137.252,1.49751,0.78098,1.11898,0.83874,0.65746,0.75116,0.32622,2.19284,1.17856,1.37862,0.0096535,0.0096535,0.0096535
9,151.75,1.40108,0.72529,1.06617,0.87715,0.73562,0.85653,0.45592,1.80756,0.93507,1.18705,0.009604,0.009604,0.009604
10,168.467,1.32221,0.67947,1.03225,0.88286,0.72509,0.84199,0.46604,1.75426,0.90693,1.20628,0.0095545,0.0095545,0.0095545
11,184.863,1.23734,0.64118,1.00105,0.88443,0.74326,0.85047,0.42266,1.93909,0.91927,1.25327,0.009505,0.009505,0.009505
12,199.517,1.18622,0.60444,0.98499,0.87566,0.7966,0.8864,0.46697,1.73044,0.89457,1.13958,0.0094555,0.0094555,0.0094555
13,215.94,1.15838,0.58992,0.97589,0.85661,0.75298,0.86003,0.41145,1.92565,0.92115,1.2216,0.009406,0.009406,0.009406
14,230.49,1.12489,0.56635,0.95671,0.88996,0.79113,0.88653,0.4935,1.62504,0.81619,1.13016,0.0093565,0.0093565,0.0093565
15,246.994,1.06607,0.53941,0.95484,0.87809,0.78979,0.88934,0.53679,1.44748,0.79672,1.04671,0.009307,0.009307,0.009307
16,263.816,1.08186,0.5398,0.94423,0.89477,0.78805,0.89175,0.54233,1.44469,0.7764,1.04766,0.0092575,0.0092575,0.0092575
17,280.846,1.05977,0.52951,0.93969,0.89405,0.78018,0.88582,0.5116,1.54268,0.79271,1.07735,0.009208,0.009208,0.009208
18,295.464,1.00994,0.50643,0.92497,0.91055,0.81688,0.90278,0.51395,1.58821,0.7695,1.10703,0.0091585,0.0091585,0.0091585
19,310.028,1.00523,0.50251,0.92977,0.89224,0.77898,0.86014,0.45958,1.73798,0.84631,1.18681,0.009109,0.009109,0.009109
20,324.495,0.98079,0.49202,0.91968,0.91351,0.82741,0.91676,0.56106,1.41631,0.72314,1.03814,0.0090595,0.0090595,0.0090595
21,341.547,0.96243,0.48392,0.91826,0.89651,0.81492,0.90346,0.53345,1.49487,0.75435,1.06949,0.00901,0.00901,0.00901
22,356.569,0.95697,0.47567,0.90746,0.90331,0.84278,0.91937,0.51378,1.58493,0.79501,1.09126,0.0089605,0.0089605,0.0089605
23,371.655,0.94111,0.46431,0.9053,0.9157,0.83239,0.91315,0.50487,1.62124,0.76622,1.11753,0.008911,0.008911,0.008911
24,386.58,0.94469,0.46399,0.89987,0.92039,0.85341,0.92689,0.56979,1.38718,0.69422,1.03371,0.0088615,0.0088615,0.0088615
25,403.355,0.91977,0.45238,0.89831,0.92738,0.85448,0.93007,0.56616,1.42405,0.70528,1.04747,0.008812,0.008812,0.008812
26,418.184,0.92284,0.45198,0.902,0.93308,0.85487,0.92928,0.56242,1.42141,0.69971,1.04142,0.0087625,0.0087625,0.0087625
27,433.298,0.91128,0.44055,0.89069,0.92775,0.85494,0.92844,0.56888,1.40566,0.69008,1.03608,0.008713,0.008713,0.008713
28,448.286,0.90886,0.44114,0.89911,0.93512,0.85422,0.93111,0.58961,1.31773,0.67064,1.0131,0.0086635,0.0086635,0.0086635
29,465.171,0.89633,0.43575,0.88769,0.93095,0.8606,0.93138,0.59612,1.29008,0.66032,1.00841,0.008614,0.008614,0.008614
30,481.607,0.87808,0.43245,0.89194,0.93704,0.86538,0.93875,0.59878,1.31011,0.66027,1.00151,0.0085645,0.0085645,0.0085645
31,498.224,0.86912,0.4245,0.88736,0.94827,0.86212,0.9373,0.58517,1.38691,0.66095,1.0312,0.008515,0.008515,0.008515
32,513.018,0.86575,0.42074,0.8909,0.93329,0.85795,0.93527,0.6072,1.27691,0.64275,0.99355,0.0084655,0.0084655,0.0084655
33,529.896,0.86411,0.41946,0.88275,0.92997,0.85462,0.93481,0.61213,1.24069,0.64776,0.98625,0.008416,0.008416,0.008416
