epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8902,4.5284,4.40247,2.86888,0.03179,0.0444,0.01736,0.00544,3.31634,3.13923,1.81348,0.0700741,0.0033251,0.0033251
2,96.8957,2.95147,2.71223,1.57189,0.06575,0.1196,0.05739,0.02431,2.43765,2.17723,1.35166,0.0400411,0.00662548,0.00662548
3,137.668,2.48239,2.26949,1.36799,0.21847,0.0965,0.0721,0.03191,2.27043,2.00122,1.30486,0.00997516,0.00989285,0.00989285
4,178.046,2.25685,2.02559,1.2854,0.27611,0.13135,0.10306,0.04944,1.99415,1.75929,1.18769,0.0098515,0.0098515,0.0098515
5,218.728,2.09905,1.86311,1.22752,0.16278,0.15094,0.11214,0.05486,1.95032,1.58586,1.14932,0.009802,0.009802,0.009802
6,259.019,1.99065,1.73557,1.1855,0.16744,0.16967,0.12382,0.0613,1.82268,1.53164,1.11182,0.0097525,0.0097525,0.0097525
7,299.673,1.9166,1.65299,1.1592,0.20145,0.19003,0.1435,0.07353,1.78216,1.42779,1.09592,0.009703,0.009703,0.009703
8,340.285,1.85599,1.59061,1.14203,0.22252,0.19076,0.1508,0.07914,1.72386,1.39527,1.08075,0.0096535,0.0096535,0.0096535
9,380.455,1.81507,1.54387,1.12795,0.24192,0.19526,0.16168,0.08513,1.69872,1.35167,1.06889,0.009604,0.009604,0.009604
10,420.857,1.78261,1.48108,1.11512,0.24642,0.20907,0.1721,0.09099,1.65916,1.31287,1.06158,0.0095545,0.0095545,0.0095545
11,460.797,1.75252,1.4608,1.10104,0.29126,0.2105,0.18488,0.09683,1.64267,1.2945,1.05717,0.009505,0.009505,0.009505
12,501.34,1.73497,1.45084,1.10239,0.27512,0.21847,0.18565,0.09811,1.62729,1.26649,1.0466,0.0094555,0.0094555,0.0094555
13,541.744,1.71815,1.41754,1.0933,0.29176,0.22725,0.19608,0.1041,1.59534,1.2411,1.03976,0.009406,0.009406,0.009406
14,581.606,1.69758,1.39445,1.08474,0.29639,0.22324,0.20008,0.10685,1.57936,1.23531,1.03493,0.0093565,0.0093565,0.0093565
15,622.132,1.67317,1.36041,1.07146,0.29215,0.22892,0.20483,0.11138,1.56882,1.21492,1.02573,0.009307,0.009307,0.009307
16,662.449,1.66152,1.35289,1.07481,0.30382,0.23964,0.21331,0.11631,1.55192,1.19888,1.02652,0.0092575,0.0092575,0.0092575
17,702.872,1.66675,1.35662,1.07167,0.31852,0.23869,0.21577,0.11739,1.54534,1.19948,1.02173,0.009208,0.009208,0.009208
18,743.088,1.65251,1.32413,1.06656,0.30334,0.23948,0.2172,0.11847,1.53109,1.18491,1.01605,0.0091585,0.0091585,0.0091585
19,783.362,1.62142,1.30705,1.06109,0.34918,0.24094,0.22219,0.12112,1.52472,1.16515,1.01625,0.009109,0.009109,0.009109
20,823.081,1.62907,1.30004,1.05519,0.33651,0.24092,0.22838,0.12359,1.5219,1.15456,1.01556,0.0090595,0.0090595,0.0090595
21,863.333,1.60661,1.28589,1.04947,0.31902,0.25133,0.22939,0.12509,1.50653,1.14735,1.01172,0.00901,0.00901,0.00901
22,903.541,1.60536,1.26691,1.04693,0.33569,0.25394,0.23554,0.12841,1.50152,1.15092,1.00914,0.0089605,0.0089605,0.0089605
23,943.982,1.59475,1.26497,1.04113,0.33423,0.25559,0.23601,0.12834,1.50391,1.14415,1.00841,0.008911,0.008911,0.008911
24,983.811,1.57617,1.23683,1.04124,0.33322,0.26196,0.24076,0.13145,1.48246,1.1266,1.00437,0.0088615,0.0088615,0.0088615
25,1023.86,1.58054,1.24134,1.03956,0.35247,0.26059,0.24639,0.1352,1.47662,1.12491,1.00137,0.008812,0.008812,0.008812
26,1063.99,1.56333,1.23737,1.04588,0.34629,0.26116,0.24474,0.13499,1.47031,1.11233,0.99998,0.0087625,0.0087625,0.0087625
27,1103.41,1.56028,1.22792,1.03587,0.36178,0.27028,0.25311,0.13908,1.46264,1.10104,0.99955,0.008713,0.008713,0.008713
28,1143.64,1.56325,1.23148,1.03927,0.36297,0.26831,0.25413,0.14082,1.46155,1.10305,0.99776,0.0086635,0.0086635,0.0086635
29,1183.52,1.54828,1.21077,1.03264,0.34745,0.27354,0.25402,0.13963,1.4562,1.09751,0.99523,0.008614,0.008614,0.008614
30,1223.45,1.54999,1.21065,1.02858,0.35744,0.26838,0.25399,0.1412,1.44338,1.09068,0.99313,0.0085645,0.0085645,0.0085645
31,1263.8,1.54379,1.20112,1.02837,0.37155,0.26763,0.25876,0.14303,1.44576,1.09312,0.99126,0.008515,0.008515,0.008515
32,1304.17,1.54645,1.19746,1.02354,0.36451,0.26819,0.26087,0.14511,1.47423,1.11516,0.98889,0.0084655,0.0084655,0.0084655
33,1344.41,1.55745,1.20674,1.02616,0.36087,0.27571,0.26138,0.14558,1.47394,1.11014,0.98447,0.008416,0.008416,0.008416
34,1384.38,1.56223,1.20693,1.02488,0.36708,0.27694,0.2623,0.14569,1.47153,1.11162,0.98213,0.0083665,0.0083665,0.0083665
