epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1931,4.43169,4.22342,2.76893,0.02453,0.02828,0.01451,0.00492,3.26703,2.94046,1.72711,0.0700741,0.0033251,0.0033251
2,75.2002,2.88931,2.69158,1.57761,0.06996,0.1067,0.05756,0.02416,2.44719,2.18295,1.38303,0.0400411,0.00662548,0.00662548
3,108.955,2.48336,2.28124,1.38085,0.2048,0.11563,0.07398,0.03435,2.12882,1.89409,1.25379,0.00997516,0.00989285,0.00989285
4,142.163,2.2593,2.03234,1.29069,0.23927,0.12416,0.09601,0.04654,1.99752,1.72559,1.18469,0.0098515,0.0098515,0.0098515
5,175.901,2.10788,1.87793,1.2313,0.15038,0.14843,0.10901,0.05329,1.94515,1.58542,1.14516,0.009802,0.009802,0.009802
6,210.487,2.00108,1.74831,1.18832,0.20582,0.15994,0.12183,0.06095,1.83662,1.51358,1.11694,0.0097525,0.0097525,0.0097525
7,248.086,1.93416,1.67348,1.16484,0.20651,0.169,0.13978,0.07115,1.79413,1.46302,1.10821,0.009703,0.009703,0.009703
8,281.337,1.87698,1.61482,1.14906,0.23936,0.18975,0.14924,0.07808,1.77316,1.45004,1.09127,0.0096535,0.0096535,0.0096535
9,317.37,1.83231,1.56478,1.13288,0.24704,0.18728,0.15862,0.08186,1.73679,1.37622,1.07644,0.009604,0.009604,0.009604
10,350.948,1.79775,1.50171,1.11941,0.26023,0.20037,0.16628,0.08825,1.68366,1.33477,1.06548,0.0095545,0.0095545,0.0095545
11,391.921,1.76967,1.47885,1.10719,0.2537,0.20091,0.17256,0.09159,1.6682,1.32011,1.06104,0.009505,0.009505,0.009505
12,426.677,1.75206,1.46755,1.10767,0.26096,0.21594,0.18121,0.09793,1.63672,1.29218,1.0487,0.0094555,0.0094555,0.0094555
13,465.981,1.73522,1.43485,1.09853,0.28462,0.22306,0.19615,0.10411,1.61637,1.26778,1.04447,0.009406,0.009406,0.009406
14,504.682,1.71672,1.41139,1.09106,0.28788,0.21799,0.194,0.1045,1.61176,1.26252,1.04116,0.0093565,0.0093565,0.0093565
15,547.014,1.69477,1.38422,1.07834,0.29781,0.23017,0.19912,0.10783,1.60093,1.25225,1.03614,0.009307,0.009307,0.009307
16,587.036,1.68068,1.37173,1.08111,0.29684,0.23783,0.20806,0.11222,1.57378,1.22364,1.03207,0.0092575,0.0092575,0.0092575
17,620.239,1.68669,1.37569,1.07864,0.30491,0.23319,0.2079,0.11329,1.57089,1.21703,1.03069,0.009208,0.009208,0.009208
18,664.696,1.66898,1.34586,1.07317,0.32171,0.23806,0.2155,0.11583,1.55201,1.19591,1.0247,0.0091585,0.0091585,0.0091585
19,711.498,1.63762,1.32371,1.0672,0.31703,0.23719,0.21325,0.11541,1.54147,1.19174,1.02264,0.009109,0.009109,0.009109
20,761.943,1.646,1.31735,1.06185,0.32528,0.24768,0.22344,0.12179,1.53926,1.16832,1.02187,0.0090595,0.0090595,0.0090595
21,799.75,1.62334,1.2994,1.05572,0.32655,0.24374,0.22735,0.1245,1.52289,1.16264,1.01674,0.00901,0.00901,0.00901
22,845.866,1.62137,1.28131,1.05286,0.33753,0.24535,0.22676,0.12418,1.52361,1.17394,1.01654,0.0089605,0.0089605,0.0089605
23,893.9,1.61398,1.28376,1.04741,0.32404,0.24583,0.22861,0.12332,1.53185,1.16854,1.01881,0.008911,0.008911,0.008911
24,936.708,1.59392,1.25409,1.04693,0.32266,0.25341,0.23076,0.12641,1.50478,1.14994,1.00915,0.0088615,0.0088615,0.0088615
25,970.034,1.59801,1.25913,1.04526,0.33183,0.24967,0.23752,0.12933,1.50055,1.13462,1.01219,0.008812,0.008812,0.008812
26,1004.73,1.58339,1.25189,1.05303,0.33929,0.2566,0.24107,0.13355,1.48224,1.13387,1.00272,0.0087625,0.0087625,0.0087625
27,1037.58,1.57899,1.24444,1.04099,0.34473,0.25849,0.24453,0.13447,1.48062,1.12284,1.00151,0.008713,0.008713,0.008713
28,1071.16,1.58355,1.24429,1.04576,0.34254,0.2588,0.24505,0.13467,1.47488,1.1139,1.00016,0.0086635,0.0086635,0.0086635
29,1113.14,1.56755,1.2237,1.0396,0.35193,0.25585,0.24471,0.13561,1.46503,1.11145,0.99675,0.008614,0.008614,0.008614
30,1146.71,1.56703,1.22631,1.03499,0.3473,0.26495,0.24821,0.13658,1.46662,1.10819,0.99776,0.0085645,0.0085645,0.0085645
31,1194.37,1.56127,1.21184,1.03298,0.3503,0.26878,0.24956,0.13875,1.4639,1.10536,0.99638,0.008515,0.008515,0.008515
32,1235.7,1.54864,1.20179,1.03029,0.34824,0.26889,0.25237,0.1398,1.46145,1.09697,0.99605,0.0084655,0.0084655,0.0084655
33,1278.23,1.5397,1.2,1.03321,0.35653,0.27479,0.25776,0.14305,1.45068,1.09039,0.99209,0.008416,0.008416,0.008416
34,1323,1.5419,1.18852,1.03536,0.35578,0.27451,0.25951,0.14511,1.44961,1.09055,0.9926,0.0083665,0.0083665,0.0083665
35,1359.15,1.52435,1.18433,1.02814,0.36603,0.27576,0.26224,0.14482,1.44784,1.08443,0.99371,0.008317,0.008317,0.008317
36,1405.09,1.54733,1.19477,1.02551,0.36129,0.27791,0.26375,0.14581,1.44168,1.07925,0.99039,0.0082675,0.0082675,0.0082675
37,1439.08,1.53653,1.18319,1.02747,0.36873,0.2813,0.26387,0.14654,1.44027,1.08075,0.9895,0.008218,0.008218,0.008218
38,1483.94,1.53364,1.1737,1.02489,0.35966,0.2848,0.26683,0.1483,1.43797,1.07669,0.98726,0.0081685,0.0081685,0.0081685
39,1522.76,1.53537,1.18405,1.0281,0.37206,0.28142,0.26691,0.14984,1.43397,1.07421,0.98744,0.008119,0.008119,0.008119
40,1562.32,1.52233,1.16259,1.01989,0.36589,0.28574,0.27141,0.15193,1.42157,1.06697,0.98388,0.0080695,0.0080695,0.0080695
41,1606.69,1.51552,1.16167,1.02374,0.36545,0.28601,0.27109,0.15176,1.42225,1.0626,0.98182,0.00802,0.00802,0.00802
42,1641.64,1.50569,1.15089,1.01474,0.36894,0.28403,0.2703,0.1513,1.42421,1.06028,0.98385,0.0079705,0.0079705,0.0079705
43,1674.36,1.50891,1.15316,1.01715,0.37655,0.28346,0.27055,0.15077,1.41909,1.05892,0.98388,0.007921,0.007921,0.007921
44,1707.2,1.51451,1.15414,1.01444,0.37191,0.28277,0.27179,0.15162,1.42297,1.06203,0.98513,0.0078715,0.0078715,0.0078715
45,1739.72,1.50539,1.14998,1.01885,0.3774,0.28744,0.2749,0.15403,1.41356,1.05533,0.97977,0.007822,0.007822,0.007822
46,1772.65,1.49877,1.14916,1.01359,0.38239,0.28869,0.27985,0.15648,1.41335,1.05335,0.9793,0.0077725,0.0077725,0.0077725
47,1804.99,1.52152,1.16085,1.01792,0.3854,0.29113,0.27606,0.15435,1.43702,1.0771,0.97896,0.007723,0.007723,0.007723
48,1838.24,1.53877,1.16201,1.01391,0.38912,0.28962,0.28111,0.15647,1.44245,1.06905,0.97691,0.0076735,0.0076735,0.0076735
49,1870.94,1.51262,1.14629,1.00762,0.3861,0.29114,0.27966,0.15708,1.44135,1.07501,0.97426,0.007624,0.007624,0.007624
50,1903.59,1.51994,1.16129,1.00773,0.39958,0.28608,0.28268,0.15784,1.43833,1.07746,0.97247,0.0075745,0.0075745,0.0075745
51,1939.32,1.51504,1.14884,1.00365,0.38787,0.28891,0.27991,0.15763,1.43862,1.08077,0.97183,0.007525,0.007525,0.007525
52,1972.27,1.51865,1.15619,1.0025,0.39,0.28963,0.28109,0.158,1.4398,1.0801,0.9701,0.0074755,0.0074755,0.0074755
53,2004.99,1.51575,1.15595,0.9996,0.38846,0.29409,0.28233,0.15787,1.43723,1.08093,0.96973,0.007426,0.007426,0.007426
54,2037.83,1.52116,1.15715,0.99826,0.39003,0.29058,0.28431,0.16068,1.43407,1.06892,0.96894,0.0073765,0.0073765,0.0073765
55,2070.62,1.52201,1.15468,0.99909,0.38681,0.30042,0.28764,0.16088,1.4338,1.06951,0.96663,0.007327,0.007327,0.007327
56,2103.29,1.51047,1.14873,0.99704,0.38705,0.29912,0.28887,0.16238,1.42809,1.06632,0.96419,0.0072775,0.0072775,0.0072775
57,2135.83,1.50042,1.14631,0.99787,0.40231,0.29443,0.28826,0.16206,1.42001,1.06229,0.96243,0.007228,0.007228,0.007228
58,2168.13,1.51677,1.14603,0.99572,0.39365,0.29764,0.28872,0.16094,1.42139,1.06096,0.96212,0.0071785,0.0071785,0.0071785
59,2200.89,1.50997,1.14596,0.99545,0.40111,0.30284,0.29146,0.16403,1.41613,1.06354,0.96065,0.007129,0.007129,0.007129
