epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0082,4.04602,4.16111,3.01117,0.02587,0.04292,0.01754,0.00605,3.05456,3.40161,2.20063,0.0700741,0.0033251,0.0033251
2,99.7976,2.86438,3.07046,2.00964,0.11357,0.08892,0.04987,0.0205,2.54383,2.59765,1.7904,0.0400411,0.00662548,0.00662548
3,143.545,2.45315,2.61288,1.72031,0.18107,0.12942,0.06991,0.03168,2.27263,2.32127,1.61691,0.00997516,0.00989285,0.00989285
4,185.563,2.24297,2.36843,1.58044,0.23157,0.14733,0.09696,0.04786,2.03247,2.02337,1.48497,0.0098515,0.0098515,0.0098515
5,228.513,2.11164,2.1924,1.49682,0.24277,0.16135,0.11533,0.05772,1.98734,1.88099,1.42495,0.009802,0.009802,0.009802
6,270.535,2.02579,2.05502,1.44358,0.26619,0.19157,0.13447,0.069,1.86596,1.78559,1.36677,0.0097525,0.0097525,0.0097525
7,312.457,1.97513,1.97297,1.4065,0.19043,0.2003,0.14246,0.07549,1.84838,1.7296,1.35238,0.009703,0.009703,0.009703
8,354.417,1.91855,1.90463,1.37819,0.21106,0.19361,0.15315,0.08197,1.83705,1.68949,1.34631,0.0096535,0.0096535,0.0096535
9,395.193,1.88672,1.84234,1.35312,0.22968,0.20573,0.16278,0.08551,1.81944,1.66637,1.31426,0.009604,0.009604,0.009604
10,436.517,1.85908,1.7902,1.33527,0.24052,0.21632,0.16916,0.09248,1.77272,1.63877,1.28785,0.0095545,0.0095545,0.0095545
11,477.889,1.84243,1.76309,1.32125,0.26087,0.22221,0.19474,0.10521,1.72035,1.55826,1.27832,0.009505,0.009505,0.009505
12,519.904,1.82872,1.75049,1.31357,0.25494,0.23177,0.19107,0.10443,1.72236,1.56363,1.25973,0.0094555,0.0094555,0.0094555
13,560.309,1.81838,1.71712,1.29984,0.28471,0.23221,0.20468,0.11292,1.70312,1.53013,1.25746,0.009406,0.009406,0.009406
14,601.946,1.79943,1.68962,1.28512,0.29192,0.24696,0.2187,0.12072,1.67593,1.49784,1.23056,0.0093565,0.0093565,0.0093565
15,642.842,1.78458,1.65474,1.26423,0.27932,0.24728,0.21025,0.11802,1.67395,1.50047,1.22462,0.009307,0.009307,0.009307
16,683.721,1.78165,1.6549,1.26891,0.31219,0.24859,0.22172,0.12501,1.67594,1.49302,1.21798,0.0092575,0.0092575,0.0092575
17,724.519,1.7869,1.65045,1.25956,0.3159,0.25323,0.23461,0.13048,1.65466,1.45839,1.20907,0.009208,0.009208,0.009208
18,765.612,1.77172,1.61703,1.25246,0.31331,0.25868,0.23315,0.12988,1.65771,1.46822,1.20324,0.0091585,0.0091585,0.0091585
19,806.763,1.74836,1.60029,1.24107,0.34518,0.25426,0.23686,0.13359,1.63952,1.43118,1.19711,0.009109,0.009109,0.009109
20,847.162,1.75297,1.58599,1.23151,0.32523,0.27325,0.24888,0.13955,1.62763,1.42025,1.18779,0.0090595,0.0090595,0.0090595
21,887.723,1.73372,1.56875,1.22258,0.33806,0.26325,0.25009,0.14044,1.621,1.40575,1.18615,0.00901,0.00901,0.00901
22,928.33,1.73242,1.55061,1.21686,0.33403,0.26822,0.24927,0.14038,1.61682,1.40534,1.18108,0.0089605,0.0089605,0.0089605
23,969.173,1.72332,1.54775,1.21047,0.33779,0.27137,0.25311,0.14209,1.61959,1.39813,1.17775,0.008911,0.008911,0.008911
24,1009.69,1.70392,1.51619,1.20408,0.33239,0.27992,0.25579,0.14488,1.60564,1.39003,1.16974,0.0088615,0.0088615,0.0088615
25,1049.72,1.70679,1.51666,1.19944,0.34218,0.27413,0.2595,0.14745,1.5929,1.37332,1.1688,0.008812,0.008812,0.008812
26,1090.41,1.69424,1.51617,1.20341,0.35481,0.28107,0.26543,0.15156,1.58676,1.36801,1.16067,0.0087625,0.0087625,0.0087625
27,1131.04,1.68896,1.49687,1.19183,0.37039,0.27743,0.26434,0.15129,1.58302,1.35879,1.15812,0.008713,0.008713,0.008713
28,1172.16,1.68964,1.49658,1.19144,0.3591,0.28272,0.26729,0.15309,1.57573,1.35631,1.15066,0.0086635,0.0086635,0.0086635
29,1213.19,1.67886,1.48117,1.18305,0.36711,0.28681,0.27372,0.15668,1.57931,1.35173,1.1507,0.008614,0.008614,0.008614
30,1253.99,1.67837,1.47635,1.17742,0.38667,0.28251,0.27596,0.15798,1.56733,1.3285,1.14456,0.0085645,0.0085645,0.0085645
31,1294.52,1.67902,1.46427,1.1776,0.3742,0.29097,0.27929,0.15985,1.5684,1.3328,1.14384,0.008515,0.008515,0.008515
32,1335.45,1.65977,1.44741,1.17093,0.39041,0.27775,0.27498,0.15862,1.56325,1.33115,1.13672,0.0084655,0.0084655,0.0084655
33,1376.05,1.65798,1.44279,1.17105,0.38382,0.29719,0.28274,0.16196,1.55001,1.31275,1.13831,0.008416,0.008416,0.008416
34,1416.54,1.65178,1.42978,1.17062,0.39266,0.29363,0.28204,0.16207,1.555,1.31799,1.13624,0.0083665,0.0083665,0.0083665
35,1457.18,1.63815,1.42524,1.16361,0.4041,0.29438,0.28949,0.16604,1.55227,1.30672,1.13164,0.008317,0.008317,0.008317
36,1497.59,1.65326,1.43129,1.15792,0.38654,0.29009,0.28734,0.16515,1.53987,1.30165,1.1242,0.0082675,0.0082675,0.0082675
37,1538.06,1.65406,1.42514,1.15894,0.40822,0.29236,0.29077,0.1669,1.54089,1.30258,1.12548,0.008218,0.008218,0.008218
38,1578.83,1.64528,1.41459,1.15481,0.40229,0.29672,0.29078,0.16748,1.53351,1.29425,1.12389,0.0081685,0.0081685,0.0081685
39,1619.43,1.65158,1.42427,1.1561,0.407,0.29707,0.29529,0.16992,1.53574,1.28484,1.12264,0.008119,0.008119,0.008119
40,1660.04,1.63355,1.39724,1.14503,0.40389,0.30012,0.29649,0.17071,1.52899,1.2822,1.11662,0.0080695,0.0080695,0.0080695
41,1699.93,1.62843,1.3954,1.14852,0.40487,0.30326,0.29905,0.17265,1.52344,1.27262,1.11504,0.00802,0.00802,0.00802
42,1740.44,1.61352,1.37675,1.13613,0.40725,0.30043,0.2965,0.17167,1.5251,1.27982,1.11148,0.0079705,0.0079705,0.0079705
43,1781.07,1.61719,1.3796,1.13734,0.42536,0.2982,0.30168,0.17407,1.52985,1.26874,1.11289,0.007921,0.007921,0.007921
44,1822.11,1.62951,1.38478,1.13518,0.40993,0.30228,0.30126,0.1738,1.52296,1.26925,1.11098,0.0078715,0.0078715,0.0078715
45,1862.41,1.61622,1.37747,1.13823,0.40175,0.30871,0.30378,0.17698,1.5161,1.26129,1.10573,0.007822,0.007822,0.007822
46,1902.59,1.61507,1.3751,1.13164,0.42366,0.30563,0.30823,0.17806,1.51631,1.26035,1.10098,0.0077725,0.0077725,0.0077725
47,1943.21,1.61967,1.37311,1.13571,0.42746,0.30749,0.30624,0.17727,1.51401,1.25609,1.10688,0.007723,0.007723,0.007723
48,1983.1,1.6222,1.36323,1.13107,0.41701,0.31304,0.30974,0.17942,1.51037,1.24593,1.09933,0.0076735,0.0076735,0.0076735
49,2022.9,1.58715,1.34306,1.12002,0.41052,0.31218,0.30929,0.17912,1.50697,1.24741,1.09741,0.007624,0.007624,0.007624
50,2063.19,1.59884,1.35304,1.12171,0.41979,0.3165,0.31072,0.17984,1.50519,1.24671,1.09671,0.0075745,0.0075745,0.0075745
51,2103.99,1.58739,1.33785,1.11968,0.4019,0.32235,0.31368,0.18289,1.49812,1.23886,1.09452,0.007525,0.007525,0.007525
52,2144.92,1.59146,1.33897,1.11998,0.40978,0.32064,0.31389,0.18285,1.50072,1.24054,1.09375,0.0074755,0.0074755,0.0074755
53,2185.76,1.59497,1.34104,1.11873,0.42021,0.3172,0.31544,0.18329,1.5046,1.23607,1.09368,0.007426,0.007426,0.007426
54,2226.12,1.59953,1.34046,1.11786,0.41418,0.32032,0.31713,0.18365,1.49673,1.23072,1.09176,0.0073765,0.0073765,0.0073765
55,2266.73,1.59639,1.33494,1.11423,0.42128,0.31598,0.31705,0.1848,1.49594,1.23277,1.08926,0.007327,0.007327,0.007327
56,2307.51,1.58552,1.32854,1.11454,0.41637,0.32346,0.31903,0.18626,1.48893,1.22678,1.08888,0.0072775,0.0072775,0.0072775
