epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2577,4.60273,4.18219,2.78346,0.01678,0.03716,0.01021,0.0029,3.62565,3.11877,1.9397,0.0700741,0.0033251,0.0033251
2,95.0097,3.06465,2.80241,1.62439,0.18311,0.08779,0.05986,0.02449,2.49819,2.16926,1.36834,0.0400411,0.00662548,0.00662548
3,137.161,2.47198,2.24166,1.3706,0.22042,0.09651,0.06918,0.0296,2.40631,2.06182,1.35876,0.00997516,0.00989285,0.00989285
4,178.81,2.21516,1.96695,1.27041,0.26424,0.13338,0.10427,0.05154,1.96839,1.71202,1.17215,0.0098515,0.0098515,0.0098515
5,220.77,2.05288,1.80458,1.20903,0.18404,0.15969,0.12243,0.06107,1.9011,1.55521,1.13289,0.009802,0.009802,0.009802
6,262.578,1.94656,1.68195,1.16624,0.20233,0.17558,0.13705,0.06992,1.78863,1.44034,1.09933,0.0097525,0.0097525,0.0097525
7,304.611,1.88166,1.6067,1.14249,0.21213,0.19041,0.15237,0.07935,1.74627,1.40627,1.08344,0.009703,0.009703,0.009703
8,346.45,1.82278,1.54629,1.12665,0.23693,0.19405,0.15875,0.08392,1.69736,1.37566,1.06772,0.0096535,0.0096535,0.0096535
9,388.301,1.78554,1.5034,1.11233,0.24969,0.2027,0.1718,0.09167,1.65348,1.32904,1.05768,0.009604,0.009604,0.009604
10,430.04,1.7517,1.44577,1.10032,0.26754,0.20921,0.18008,0.09701,1.6243,1.28563,1.04509,0.0095545,0.0095545,0.0095545
11,471.468,1.72276,1.42673,1.0878,0.28017,0.21101,0.18998,0.10028,1.62203,1.27665,1.04425,0.009505,0.009505,0.009505
12,513.304,1.70838,1.41592,1.08876,0.29115,0.22121,0.19534,0.10407,1.59534,1.24871,1.0358,0.0094555,0.0094555,0.0094555
13,554.955,1.69234,1.38681,1.08014,0.28772,0.22757,0.20114,0.10691,1.57932,1.23542,1.03518,0.009406,0.009406,0.009406
14,596.586,1.67215,1.3682,1.0724,0.30231,0.2267,0.20464,0.10869,1.55981,1.22121,1.02921,0.0093565,0.0093565,0.0093565
15,638.472,1.64715,1.331,1.05942,0.30705,0.22925,0.20651,0.11263,1.55066,1.21275,1.02186,0.009307,0.009307,0.009307
16,680.085,1.63785,1.33008,1.06312,0.30342,0.24659,0.21396,0.1165,1.54148,1.19531,1.01846,0.0092575,0.0092575,0.0092575
17,721.134,1.64534,1.33418,1.0598,0.3204,0.23199,0.21969,0.11992,1.52905,1.19137,1.0129,0.009208,0.009208,0.009208
18,763.063,1.62561,1.3023,1.05522,0.31813,0.24906,0.22691,0.12365,1.50615,1.16066,1.01003,0.0091585,0.0091585,0.0091585
19,804.915,1.59188,1.28305,1.04839,0.32178,0.24617,0.22781,0.12551,1.49919,1.1534,1.00882,0.009109,0.009109,0.009109
20,846.496,1.59943,1.27808,1.04286,0.32165,0.25742,0.23279,0.12782,1.49422,1.14276,1.00398,0.0090595,0.0090595,0.0090595
21,887.93,1.58232,1.26326,1.03846,0.31843,0.25831,0.23768,0.13079,1.47331,1.13044,0.99907,0.00901,0.00901,0.00901
22,929.812,1.57904,1.24661,1.03571,0.32839,0.26028,0.2443,0.13315,1.48063,1.13657,1.0028,0.0089605,0.0089605,0.0089605
23,971.635,1.5812,1.25081,1.0307,0.35147,0.26378,0.24933,0.13527,1.50853,1.14895,1.00356,0.008911,0.008911,0.008911
24,1013.61,1.58177,1.23848,1.02937,0.35343,0.26413,0.24719,0.13708,1.49577,1.1413,0.99264,0.0088615,0.0088615,0.0088615
25,1055.16,1.59476,1.25335,1.02693,0.36357,0.25618,0.25158,0.13977,1.49314,1.13417,0.99134,0.008812,0.008812,0.008812
26,1097.75,1.58268,1.25214,1.03174,0.3573,0.26899,0.25436,0.14133,1.49887,1.14528,0.98963,0.0087625,0.0087625,0.0087625
27,1139.52,1.58029,1.24407,1.02064,0.35362,0.2769,0.2576,0.14282,1.48295,1.13104,0.98287,0.008713,0.008713,0.008713
28,1181.35,1.58476,1.24888,1.02256,0.35895,0.27272,0.26228,0.14597,1.48308,1.12742,0.98228,0.0086635,0.0086635,0.0086635
29,1223.12,1.56941,1.23413,1.01552,0.35751,0.2749,0.25952,0.14562,1.47196,1.12923,0.97925,0.008614,0.008614,0.008614
30,1265.07,1.57271,1.23628,1.01125,0.35493,0.27439,0.26068,0.14517,1.46564,1.11518,0.9771,0.0085645,0.0085645,0.0085645
31,1306.54,1.56324,1.22185,1.00846,0.37259,0.27505,0.26415,0.14878,1.46487,1.11478,0.97657,0.008515,0.008515,0.008515
32,1348.27,1.54878,1.21044,1.00474,0.36723,0.28359,0.26925,0.14987,1.45627,1.10172,0.9717,0.0084655,0.0084655,0.0084655
33,1390.12,1.5452,1.20842,1.00839,0.37703,0.27918,0.27113,0.15142,1.45141,1.10045,0.97155,0.008416,0.008416,0.008416
34,1431.99,1.54442,1.20179,1.00862,0.36962,0.28107,0.26888,0.15054,1.44788,1.09836,0.97025,0.0083665,0.0083665,0.0083665
35,1473.61,1.52744,1.19393,1.00283,0.37365,0.28233,0.27436,0.153,1.44541,1.0949,0.9689,0.008317,0.008317,0.008317
36,1515.6,1.54975,1.20271,0.99958,0.37552,0.29092,0.27656,0.15477,1.4402,1.08531,0.96759,0.0082675,0.0082675,0.0082675
37,1557.68,1.5417,1.19672,1.00267,0.37814,0.28268,0.2747,0.1538,1.43328,1.08535,0.96631,0.008218,0.008218,0.008218
38,1599.39,1.53458,1.18273,0.9992,0.37217,0.28813,0.27567,0.15473,1.43497,1.08097,0.96469,0.0081685,0.0081685,0.0081685
39,1641.1,1.53797,1.19446,1.00098,0.38237,0.29114,0.28107,0.15835,1.43124,1.07837,0.96381,0.008119,0.008119,0.008119
40,1682.94,1.52431,1.17632,0.99402,0.3864,0.29788,0.28083,0.158,1.42787,1.07459,0.96262,0.0080695,0.0080695,0.0080695
41,1724.55,1.52036,1.17701,0.99873,0.37781,0.29501,0.28269,0.15889,1.42476,1.07111,0.96323,0.00802,0.00802,0.00802
42,1766.45,1.51061,1.16331,0.99053,0.38006,0.29337,0.28289,0.1599,1.42222,1.07051,0.96274,0.0079705,0.0079705,0.0079705
43,1807.75,1.51101,1.16326,0.99081,0.37907,0.29171,0.2831,0.15952,1.41937,1.06703,0.96162,0.007921,0.007921,0.007921
44,1850.09,1.51723,1.16791,0.98891,0.38601,0.28989,0.28469,0.1603,1.4191,1.06576,0.95919,0.0078715,0.0078715,0.0078715
45,1892.12,1.50727,1.16029,0.99314,0.38852,0.29808,0.28694,0.1624,1.41768,1.06196,0.9591,0.007822,0.007822,0.007822
46,1934.2,1.50168,1.1592,0.98908,0.39085,0.29677,0.2891,0.16398,1.41395,1.05656,0.95899,0.0077725,0.0077725,0.0077725
47,1975.86,1.50712,1.15768,0.99276,0.37903,0.30651,0.28867,0.16301,1.40748,1.05544,0.95833,0.007723,0.007723,0.007723
48,2017.32,1.51083,1.15038,0.99,0.37763,0.30609,0.29058,0.16487,1.40684,1.04847,0.95722,0.0076735,0.0076735,0.0076735
49,2058.86,1.47874,1.13164,0.98536,0.38523,0.30309,0.29076,0.16463,1.40486,1.05005,0.95828,0.007624,0.007624,0.007624
50,2100.49,1.4832,1.13895,0.98498,0.38405,0.30291,0.29185,0.16457,1.39639,1.04756,0.95486,0.0075745,0.0075745,0.0075745
51,2142.15,1.4757,1.12791,0.9829,0.39108,0.3032,0.29267,0.16613,1.39336,1.04695,0.95489,0.007525,0.007525,0.007525
52,2183.66,1.4777,1.12563,0.98254,0.38822,0.30454,0.29242,0.16514,1.39596,1.04719,0.95387,0.0074755,0.0074755,0.0074755
