epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8759,4.5122,4.17795,2.69348,0.12304,0.0232,0.01275,0.00423,3.32664,2.97377,1.77696,0.0700741,0.0033251,0.0033251
2,74.3233,3.03536,2.82189,1.59611,0.04944,0.12355,0.05182,0.02151,2.52962,2.25446,1.36985,0.0400411,0.00662548,0.00662548
3,106.336,2.52127,2.3321,1.38605,0.06242,0.15798,0.07322,0.03291,2.2908,2.10662,1.29126,0.00997516,0.00989285,0.00989285
4,139.257,2.26561,2.06761,1.29054,0.23364,0.13036,0.09605,0.04616,2.01714,1.78447,1.18596,0.0098515,0.0098515,0.0098515
5,170.978,2.10849,1.91316,1.22968,0.14658,0.14215,0.10035,0.0463,2.02761,1.67165,1.16899,0.009802,0.009802,0.009802
6,202.27,2.00414,1.78358,1.18694,0.1754,0.16488,0.12272,0.06137,1.83033,1.54284,1.11956,0.0097525,0.0097525,0.0097525
7,233.868,1.93187,1.70816,1.16023,0.19735,0.18013,0.13474,0.06865,1.7897,1.47579,1.09875,0.009703,0.009703,0.009703
8,265.462,1.87243,1.64222,1.14397,0.21348,0.18826,0.14715,0.07616,1.71602,1.41884,1.0757,0.0096535,0.0096535,0.0096535
9,297.313,1.83041,1.59057,1.12731,0.22316,0.18572,0.15038,0.07825,1.71454,1.39556,1.06594,0.009604,0.009604,0.009604
10,328.749,1.79841,1.53031,1.11462,0.24451,0.1919,0.15999,0.08472,1.67493,1.36275,1.05847,0.0095545,0.0095545,0.0095545
11,359.771,1.76671,1.50284,1.10055,0.24404,0.20323,0.1687,0.08783,1.65156,1.3383,1.05024,0.009505,0.009505,0.009505
12,390.946,1.75098,1.49088,1.10047,0.25518,0.20715,0.1778,0.09398,1.61768,1.29433,1.04311,0.0094555,0.0094555,0.0094555
13,422.208,1.73233,1.46384,1.0905,0.26216,0.22131,0.18263,0.09671,1.61487,1.2873,1.04241,0.009406,0.009406,0.009406
14,454.088,1.71474,1.43829,1.08363,0.25765,0.21494,0.1815,0.09628,1.60249,1.28388,1.03561,0.0093565,0.0093565,0.0093565
15,484.715,1.69112,1.40543,1.07107,0.27146,0.22254,0.18629,0.10061,1.6062,1.27377,1.0336,0.009307,0.009307,0.009307
16,514.599,1.68101,1.40163,1.0746,0.27661,0.22706,0.19378,0.1048,1.58887,1.25363,1.02952,0.0092575,0.0092575,0.0092575
17,545.777,1.68628,1.40378,1.07044,0.28884,0.2292,0.19887,0.10712,1.55165,1.22731,1.01971,0.009208,0.009208,0.009208
18,578.014,1.6655,1.36756,1.06508,0.2882,0.23701,0.20417,0.11127,1.5472,1.21406,1.01803,0.0091585,0.0091585,0.0091585
19,608.937,1.6388,1.35002,1.05883,0.33207,0.23471,0.21164,0.11427,1.5286,1.21375,1.01468,0.009109,0.009109,0.009109
20,639.428,1.64549,1.3463,1.05425,0.30085,0.23332,0.20626,0.11205,1.54373,1.20238,1.01629,0.0090595,0.0090595,0.0090595
21,671.318,1.63104,1.33253,1.04907,0.29817,0.23514,0.21653,0.11852,1.54299,1.20753,1.01248,0.00901,0.00901,0.00901
22,702.423,1.64879,1.32683,1.04517,0.30983,0.24715,0.2204,0.12039,1.54908,1.21352,1.00554,0.0089605,0.0089605,0.0089605
23,733.969,1.65149,1.337,1.03753,0.31563,0.2481,0.22539,0.12335,1.55367,1.20693,1.00268,0.008911,0.008911,0.008911
24,766.073,1.63521,1.31321,1.03695,0.31977,0.25283,0.22615,0.12367,1.54577,1.20426,0.99723,0.0088615,0.0088615,0.0088615
25,797.244,1.64504,1.32228,1.03374,0.32388,0.24767,0.22971,0.12643,1.52564,1.19043,0.99342,0.008812,0.008812,0.008812
26,827.903,1.62625,1.31858,1.03725,0.33444,0.25126,0.23183,0.12778,1.52379,1.19069,0.99121,0.0087625,0.0087625,0.0087625
27,858.754,1.62301,1.30803,1.02802,0.32824,0.26149,0.23678,0.13034,1.51472,1.17156,0.98931,0.008713,0.008713,0.008713
28,890.318,1.62565,1.3093,1.02932,0.33551,0.25528,0.2389,0.13341,1.5119,1.17454,0.98666,0.0086635,0.0086635,0.0086635
29,921.001,1.61104,1.2926,1.02403,0.33682,0.25454,0.23943,0.13345,1.50477,1.17284,0.98264,0.008614,0.008614,0.008614
30,952.04,1.61033,1.29102,1.01775,0.43114,0.24773,0.24308,0.13485,1.50297,1.16494,0.98433,0.0085645,0.0085645,0.0085645
31,982.957,1.6006,1.27757,1.01561,0.33527,0.25866,0.24175,0.13522,1.49301,1.15677,0.97886,0.008515,0.008515,0.008515
32,1014.83,1.5884,1.26567,1.01264,0.33588,0.27021,0.2464,0.13759,1.48867,1.15197,0.97745,0.0084655,0.0084655,0.0084655
33,1046.13,1.58188,1.26016,1.01572,0.345,0.26541,0.24905,0.13962,1.4889,1.14671,0.97843,0.008416,0.008416,0.008416
34,1077.56,1.57878,1.25352,1.0148,0.35724,0.26756,0.25112,0.14047,1.48664,1.14592,0.97686,0.0083665,0.0083665,0.0083665
35,1108.93,1.56691,1.2483,1.01124,0.3555,0.26679,0.25476,0.14136,1.47477,1.1362,0.97497,0.008317,0.008317,0.008317
36,1140.09,1.58484,1.254,1.00563,0.34201,0.27052,0.25308,0.14053,1.47454,1.13155,0.9741,0.0082675,0.0082675,0.0082675
37,1171.78,1.57514,1.24538,1.00852,0.35615,0.27314,0.25711,0.14357,1.46494,1.12454,0.97161,0.008218,0.008218,0.008218
38,1203.1,1.57313,1.23574,1.00603,0.34678,0.27537,0.25725,0.14459,1.46204,1.12343,0.97112,0.0081685,0.0081685,0.0081685
39,1234.93,1.57503,1.245,1.00756,0.34656,0.28092,0.26201,0.14772,1.46347,1.11626,0.96969,0.008119,0.008119,0.008119
