epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5558,4.31771,4.0606,2.63626,0.23069,0.04184,0.01747,0.00581,3.35732,3.0754,1.70573,0.0700741,0.0033251,0.0033251
2,74.9815,2.91017,2.69987,1.57095,0.29138,0.07936,0.05913,0.02494,2.42831,2.17058,1.35918,0.0400411,0.00662548,0.00662548
3,107.177,2.45975,2.25873,1.36639,0.19918,0.11282,0.06873,0.03058,2.29496,1.90673,1.31003,0.00997516,0.00989285,0.00989285
4,138.995,2.23006,2.01517,1.28121,0.22753,0.12643,0.09078,0.04442,2.00247,1.78242,1.17585,0.0098515,0.0098515,0.0098515
5,172.632,2.0808,1.8616,1.22368,0.17194,0.15114,0.11207,0.05662,1.90321,1.58019,1.13659,0.009802,0.009802,0.009802
6,204.721,1.97337,1.73667,1.18261,0.19579,0.16552,0.12653,0.06457,1.81908,1.49845,1.11042,0.0097525,0.0097525,0.0097525
7,237.134,1.90639,1.66334,1.15751,0.20884,0.17417,0.13841,0.07128,1.77244,1.44412,1.09739,0.009703,0.009703,0.009703
8,268.262,1.85191,1.60202,1.14369,0.24388,0.18545,0.14952,0.07836,1.73474,1.44244,1.08676,0.0096535,0.0096535,0.0096535
9,301.624,1.80976,1.55812,1.1285,0.22088,0.18693,0.15211,0.08011,1.71099,1.36974,1.07181,0.009604,0.009604,0.009604
10,332.883,1.78489,1.50158,1.11697,0.2372,0.20054,0.1631,0.08674,1.67375,1.33147,1.06023,0.0095545,0.0095545,0.0095545
11,364.234,1.75725,1.48072,1.10503,0.25024,0.19948,0.17322,0.0922,1.63972,1.31671,1.05681,0.009505,0.009505,0.009505
12,396.295,1.73851,1.47127,1.10539,0.25771,0.20926,0.18018,0.09678,1.61638,1.28235,1.04613,0.0094555,0.0094555,0.0094555
13,427.453,1.72375,1.44323,1.09695,0.28266,0.21019,0.18265,0.09751,1.61712,1.2835,1.04674,0.009406,0.009406,0.009406
14,458.15,1.70618,1.41995,1.08887,0.26721,0.20947,0.18171,0.09717,1.61541,1.28321,1.04429,0.0093565,0.0093565,0.0093565
15,489.819,1.6843,1.38571,1.07667,0.29014,0.21935,0.19176,0.10457,1.58864,1.25065,1.03466,0.009307,0.009307,0.009307
16,521.083,1.67089,1.38223,1.08016,0.29231,0.21754,0.19569,0.10615,1.57243,1.23848,1.03457,0.0092575,0.0092575,0.0092575
17,553.003,1.67786,1.38551,1.07668,0.30069,0.22649,0.20296,0.1124,1.55172,1.21845,1.02479,0.009208,0.009208,0.009208
18,584.725,1.66232,1.35184,1.07227,0.31107,0.23316,0.20958,0.11463,1.54772,1.21888,1.02533,0.0091585,0.0091585,0.0091585
19,615.791,1.6337,1.3353,1.06659,0.29684,0.22828,0.20968,0.11454,1.53541,1.20248,1.02168,0.009109,0.009109,0.009109
20,646.163,1.64177,1.33174,1.0614,0.30011,0.23797,0.21109,0.11507,1.53669,1.19599,1.02307,0.0090595,0.0090595,0.0090595
21,677.139,1.62197,1.31435,1.05702,0.32044,0.23539,0.21771,0.12074,1.51833,1.17891,1.01633,0.00901,0.00901,0.00901
22,708.68,1.61712,1.30086,1.05251,0.31786,0.23727,0.21837,0.1201,1.5204,1.19165,1.01354,0.0089605,0.0089605,0.0089605
23,740.329,1.61125,1.2983,1.04821,0.35438,0.24423,0.22566,0.12475,1.5158,1.16435,1.01657,0.008911,0.008911,0.008911
