epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.504,4.46294,4.71871,3.79609,0.11035,0.01206,0.00442,0.00131,3.6965,3.64866,3.04735,0.0700741,0.0033251,0.0033251
2,288.407,3.13771,3.28225,2.42548,0.08188,0.12569,0.06811,0.02927,2.51502,2.51299,1.87894,0.0400411,0.00662548,0.00662548
3,404.105,2.38663,2.49839,1.74327,0.25506,0.12522,0.09775,0.04746,2.14134,2.17443,1.58657,0.00997516,0.00989285,0.00989285
4,524.219,2.08162,2.08765,1.52778,0.23023,0.18124,0.15671,0.08192,1.84306,1.76301,1.40484,0.0098515,0.0098515,0.0098515
5,643.669,1.89144,1.81566,1.40731,0.25935,0.2355,0.19724,0.10576,1.71839,1.55693,1.33143,0.009802,0.009802,0.009802
6,758.893,1.77444,1.63714,1.34199,0.30656,0.26515,0.23878,0.13057,1.62949,1.42226,1.28137,0.0097525,0.0097525,0.0097525
7,874.091,1.70396,1.52628,1.29868,0.35011,0.28368,0.25965,0.14367,1.59709,1.35482,1.2641,0.009703,0.009703,0.009703
8,989.519,1.64725,1.45441,1.27331,0.39278,0.30929,0.2924,0.16335,1.53568,1.2891,1.22751,0.0096535,0.0096535,0.0096535
9,1107.13,1.60675,1.38779,1.24922,0.39939,0.3132,0.30463,0.17231,1.51557,1.23985,1.20992,0.009604,0.009604,0.009604
10,1222.05,1.56818,1.3295,1.22903,0.42076,0.33186,0.32519,0.18891,1.47831,1.20987,1.19112,0.0095545,0.0095545,0.0095545
11,1337.6,1.55015,1.29863,1.21631,0.44194,0.345,0.34249,0.19876,1.44771,1.17958,1.17967,0.009505,0.009505,0.009505
12,1452.51,1.53236,1.27908,1.21132,0.43206,0.35192,0.34229,0.1968,1.44287,1.16647,1.17605,0.0094555,0.0094555,0.0094555
13,1566.61,1.51166,1.24797,1.19757,0.45231,0.36626,0.37165,0.2155,1.4213,1.12659,1.1656,0.009406,0.009406,0.009406
14,1681.92,1.49,1.21726,1.18605,0.46004,0.37626,0.37232,0.21636,1.41176,1.11154,1.15672,0.0093565,0.0093565,0.0093565
15,1797.3,1.46678,1.17869,1.1669,0.47463,0.37998,0.38481,0.2254,1.38973,1.09046,1.1457,0.009307,0.009307,0.009307
16,1911.94,1.46311,1.17855,1.17303,0.46709,0.37848,0.38396,0.22764,1.38741,1.08682,1.14301,0.0092575,0.0092575,0.0092575
17,2027.55,1.46267,1.16929,1.16567,0.48546,0.3857,0.39153,0.23179,1.37257,1.07658,1.13856,0.009208,0.009208,0.009208
18,2142.55,1.44829,1.14265,1.15978,0.49752,0.39545,0.40537,0.23917,1.36628,1.0546,1.13394,0.0091585,0.0091585,0.0091585
19,2258.08,1.42753,1.12591,1.1539,0.49661,0.40878,0.41535,0.24814,1.35501,1.04118,1.12585,0.009109,0.009109,0.009109
20,2373.35,1.42772,1.11278,1.14394,0.48834,0.41188,0.41255,0.24567,1.34833,1.03075,1.12318,0.0090595,0.0090595,0.0090595
21,2486.95,1.41095,1.09649,1.1387,0.50895,0.41072,0.4202,0.25195,1.3462,1.0326,1.12141,0.00901,0.00901,0.00901
22,2602.72,1.40883,1.08081,1.13541,0.52947,0.40778,0.42336,0.25192,1.34369,1.02109,1.11913,0.0089605,0.0089605,0.0089605
23,2718.32,1.39696,1.07273,1.12842,0.51297,0.41733,0.42716,0.25442,1.34169,1.01737,1.11792,0.008911,0.008911,0.008911
24,2833.5,1.38214,1.05375,1.12506,0.51648,0.42555,0.43297,0.25809,1.33306,1.00819,1.11139,0.0088615,0.0088615,0.0088615
25,2948.43,1.38279,1.05079,1.12097,0.5312,0.42278,0.44003,0.26395,1.32221,0.99788,1.10755,0.008812,0.008812,0.008812
26,3063.63,1.37037,1.04989,1.12614,0.52653,0.43049,0.43941,0.26383,1.3179,0.99013,1.10313,0.0087625,0.0087625,0.0087625
27,3177.59,1.36788,1.03448,1.11778,0.52856,0.42721,0.44351,0.26652,1.31391,0.9824,1.10282,0.008713,0.008713,0.008713
28,3298.75,1.37121,1.03576,1.11976,0.52914,0.44096,0.45058,0.27012,1.30653,0.98337,1.09749,0.0086635,0.0086635,0.0086635
29,3414.13,1.35652,1.02246,1.11023,0.53858,0.43719,0.45102,0.27106,1.31377,0.97779,1.0991,0.008614,0.008614,0.008614
30,3528.85,1.35395,1.01588,1.10516,0.53552,0.43671,0.45129,0.27282,1.29889,0.96932,1.09469,0.0085645,0.0085645,0.0085645
31,3644.04,1.35449,1.0098,1.10652,0.55234,0.42938,0.45392,0.27466,1.29776,0.9673,1.09204,0.008515,0.008515,0.008515
32,3759.18,1.34259,0.99402,1.10339,0.54213,0.43981,0.4593,0.27868,1.29062,0.96041,1.08847,0.0084655,0.0084655,0.0084655
33,3874.86,1.34198,0.99483,1.10503,0.55327,0.43925,0.46132,0.28006,1.29203,0.96072,1.08721,0.008416,0.008416,0.008416
34,3989.6,1.33205,0.98267,1.10288,0.55894,0.43872,0.4638,0.28033,1.29298,0.96081,1.08908,0.0083665,0.0083665,0.0083665
35,4105.86,1.32731,0.98484,1.09847,0.55244,0.44746,0.46583,0.2815,1.29324,0.96188,1.08243,0.008317,0.008317,0.008317
36,4221.46,1.3465,0.99653,1.09317,0.54643,0.45537,0.47152,0.28499,1.29788,0.95729,1.08211,0.0082675,0.0082675,0.0082675
37,4336.88,1.34833,0.99042,1.09536,0.54987,0.45912,0.47317,0.28876,1.29273,0.95485,1.07817,0.008218,0.008218,0.008218
38,4451.83,1.3431,0.98189,1.09008,0.55933,0.45624,0.47594,0.2902,1.29594,0.95599,1.07895,0.0081685,0.0081685,0.0081685
39,4567.36,1.35156,0.9945,1.09168,0.56632,0.45077,0.47502,0.28955,1.30024,0.95751,1.07645,0.008119,0.008119,0.008119
40,4681.81,1.34133,0.98076,1.08413,0.56065,0.45384,0.47159,0.28803,1.30063,0.96233,1.07694,0.0080695,0.0080695,0.0080695
41,4795.66,1.3338,0.9781,1.0847,0.55792,0.46143,0.48183,0.2931,1.29317,0.94879,1.06988,0.00802,0.00802,0.00802
42,4910.51,1.32317,0.96359,1.0748,0.55916,0.45591,0.47583,0.29201,1.29012,0.95429,1.06928,0.0079705,0.0079705,0.0079705
43,5024.28,1.32346,0.96639,1.07349,0.57025,0.4554,0.48002,0.29351,1.2918,0.94843,1.06954,0.007921,0.007921,0.007921
44,5139.87,1.33327,0.97043,1.07262,0.58218,0.45732,0.4838,0.29686,1.29094,0.94267,1.06865,0.0078715,0.0078715,0.0078715
45,5254.42,1.32529,0.964,1.07867,0.57079,0.46935,0.48716,0.29907,1.28486,0.94006,1.06523,0.007822,0.007822,0.007822
46,5370.2,1.3219,0.96188,1.07145,0.57003,0.46254,0.48545,0.29881,1.28833,0.94325,1.06477,0.0077725,0.0077725,0.0077725
47,5483.91,1.33088,0.96145,1.07669,0.57221,0.46249,0.48892,0.30011,1.28421,0.93876,1.06164,0.007723,0.007723,0.007723
48,5599.27,1.32793,0.95114,1.06883,0.57785,0.46684,0.49304,0.30159,1.28339,0.93073,1.06092,0.0076735,0.0076735,0.0076735
49,5713.35,1.29894,0.93643,1.06202,0.57091,0.46644,0.49125,0.30043,1.28253,0.93305,1.06079,0.007624,0.007624,0.007624
50,5827.51,1.30941,0.94724,1.06305,0.58773,0.46391,0.49396,0.30423,1.2775,0.92953,1.05827,0.0075745,0.0075745,0.0075745
51,5943.02,1.29955,0.93395,1.06119,0.56972,0.47537,0.49184,0.30185,1.27781,0.92647,1.05607,0.007525,0.007525,0.007525
52,6056.71,1.30232,0.93064,1.06069,0.58639,0.46522,0.49621,0.30493,1.27814,0.92779,1.05624,0.0074755,0.0074755,0.0074755
53,6171.54,1.30693,0.93354,1.06038,0.58951,0.47156,0.50089,0.30763,1.27581,0.92382,1.05653,0.007426,0.007426,0.007426
54,6286.36,1.30967,0.93611,1.0589,0.57902,0.4741,0.49784,0.30627,1.27298,0.91945,1.05318,0.0073765,0.0073765,0.0073765
55,6400.69,1.30424,0.92892,1.05483,0.57776,0.47656,0.50052,0.30835,1.27414,0.91919,1.05396,0.007327,0.007327,0.007327
56,6515.32,1.29822,0.92659,1.05697,0.59084,0.46998,0.5004,0.30803,1.27186,0.92129,1.05181,0.0072775,0.0072775,0.0072775
57,6629.02,1.2919,0.92261,1.05881,0.59354,0.46877,0.50176,0.30871,1.27393,0.9186,1.05241,0.007228,0.007228,0.007228
58,6743.95,1.29883,0.91627,1.05548,0.58714,0.47694,0.50242,0.30966,1.27091,0.91565,1.0504,0.0071785,0.0071785,0.0071785
59,6859.76,1.29912,0.91864,1.05686,0.59073,0.47614,0.50609,0.31125,1.26817,0.91436,1.04923,0.007129,0.007129,0.007129
60,6975.7,1.29078,0.91293,1.0476,0.58836,0.47341,0.50433,0.30917,1.26678,0.91229,1.04875,0.0070795,0.0070795,0.0070795
61,7089.38,1.29054,0.91158,1.0493,0.59164,0.47667,0.50652,0.3131,1.26275,0.90878,1.04668,0.00703,0.00703,0.00703
62,7204.07,1.28906,0.90572,1.04894,0.59532,0.47606,0.50847,0.31395,1.2682,0.90776,1.04822,0.0069805,0.0069805,0.0069805
63,7319.05,1.29169,0.90352,1.05082,0.60402,0.47337,0.50872,0.31442,1.26162,0.90545,1.04533,0.006931,0.006931,0.006931
64,7433.95,1.29399,0.9082,1.05098,0.588,0.47805,0.50663,0.31366,1.26424,0.90756,1.04636,0.0068815,0.0068815,0.0068815
65,7547.3,1.2866,0.90281,1.04797,0.59533,0.47744,0.50951,0.31514,1.26315,0.9077,1.04615,0.006832,0.006832,0.006832
66,7662.66,1.28585,0.90128,1.04852,0.6018,0.47425,0.50979,0.31611,1.26195,0.90621,1.04518,0.0067825,0.0067825,0.0067825
67,7777.52,1.28255,0.895,1.04461,0.60309,0.47368,0.509,0.3151,1.26141,0.90404,1.04375,0.006733,0.006733,0.006733
68,7891.38,1.27803,0.8898,1.0394,0.59287,0.48274,0.51185,0.31715,1.25834,0.89799,1.04259,0.0066835,0.0066835,0.0066835
69,8006.77,1.28059,0.89018,1.03805,0.60634,0.48574,0.51382,0.31838,1.25723,0.89626,1.04108,0.006634,0.006634,0.006634
70,8121.15,1.27516,0.88231,1.03953,0.59564,0.48121,0.5121,0.31581,1.25923,0.89872,1.04324,0.0065845,0.0065845,0.0065845
71,8235.03,1.28206,0.88759,1.04195,0.59305,0.48618,0.51386,0.31741,1.25768,0.89717,1.04217,0.006535,0.006535,0.006535
72,8348.98,1.27577,0.88572,1.03971,0.59827,0.4856,0.51425,0.31877,1.25864,0.89586,1.04236,0.0064855,0.0064855,0.0064855
73,8463.85,1.27268,0.87584,1.03768,0.60902,0.47976,0.51527,0.31926,1.25527,0.89375,1.03986,0.006436,0.006436,0.006436
74,8578.67,1.26795,0.87474,1.03404,0.60465,0.48004,0.5137,0.31818,1.25445,0.89321,1.0396,0.0063865,0.0063865,0.0063865
75,8692.18,1.26171,0.86843,1.03519,0.60865,0.48514,0.51731,0.31973,1.25502,0.89254,1.03924,0.006337,0.006337,0.006337
76,8807.6,1.2618,0.86123,1.03285,0.60409,0.48517,0.51541,0.31838,1.25469,0.89328,1.03927,0.0062875,0.0062875,0.0062875
77,8920.76,1.27338,0.86822,1.03858,0.60998,0.48151,0.51488,0.31879,1.25312,0.8922,1.0384,0.006238,0.006238,0.006238
78,9034.53,1.25722,0.86849,1.03287,0.60492,0.48403,0.51713,0.31964,1.25253,0.89118,1.03788,0.0061885,0.0061885,0.0061885
79,9148.21,1.26545,0.87178,1.03305,0.61009,0.48327,0.51983,0.32216,1.25415,0.88672,1.03859,0.006139,0.006139,0.006139
80,9263.76,1.25739,0.86128,1.03088,0.60548,0.48921,0.519,0.32046,1.25378,0.8865,1.03715,0.0060895,0.0060895,0.0060895
81,9377.37,1.25601,0.85719,1.02888,0.61185,0.48212,0.52131,0.32238,1.2518,0.88741,1.03626,0.00604,0.00604,0.00604
82,9492.68,1.25431,0.86026,1.03211,0.61544,0.48259,0.52031,0.32254,1.25179,0.88657,1.03641,0.0059905,0.0059905,0.0059905
83,9607.9,1.25432,0.86028,1.0315,0.60935,0.4894,0.5201,0.3225,1.25067,0.88592,1.03511,0.005941,0.005941,0.005941
84,9721.48,1.24269,0.8522,1.02634,0.61161,0.49034,0.52255,0.32353,1.24959,0.88304,1.03487,0.0058915,0.0058915,0.0058915
85,9836.59,1.24795,0.85069,1.02793,0.60815,0.49156,0.52221,0.32298,1.25085,0.8832,1.03572,0.005842,0.005842,0.005842
86,9949.98,1.24584,0.85266,1.02863,0.60193,0.49414,0.52326,0.32379,1.25077,0.88431,1.03431,0.0057925,0.0057925,0.0057925
87,10064.7,1.25159,0.85265,1.0266,0.59782,0.49779,0.52276,0.32418,1.24983,0.88192,1.03451,0.005743,0.005743,0.005743
88,10178.8,1.23915,0.84217,1.02532,0.59228,0.49776,0.52417,0.32488,1.24784,0.8823,1.03311,0.0056935,0.0056935,0.0056935
89,10293.6,1.24657,0.84194,1.02383,0.60127,0.49448,0.5238,0.32464,1.2464,0.87917,1.03198,0.005644,0.005644,0.005644
90,10407.1,1.24558,0.84115,1.0233,0.60126,0.494,0.52229,0.32383,1.24684,0.88038,1.03215,0.0055945,0.0055945,0.0055945
91,10521.2,1.23947,0.83595,1.02529,0.59378,0.49833,0.52376,0.32543,1.2467,0.87936,1.03176,0.005545,0.005545,0.005545
92,10635.6,1.23818,0.83304,1.02538,0.5986,0.49399,0.5232,0.32467,1.24614,0.87756,1.03114,0.0054955,0.0054955,0.0054955
93,10749.2,1.24278,0.83389,1.0212,0.60678,0.49114,0.52302,0.32528,1.24782,0.87675,1.03188,0.005446,0.005446,0.005446
94,10862.3,1.23773,0.83683,1.02309,0.60657,0.49263,0.52254,0.32518,1.2463,0.87601,1.03134,0.0053965,0.0053965,0.0053965
95,10975.8,1.23631,0.83064,1.0221,0.61486,0.49201,0.5236,0.32576,1.2461,0.8759,1.03154,0.005347,0.005347,0.005347
96,11090,1.23097,0.83013,1.01993,0.61275,0.49289,0.52556,0.32641,1.24571,0.87464,1.03131,0.0052975,0.0052975,0.0052975
97,11204.3,1.2247,0.82506,1.01865,0.61656,0.48977,0.52621,0.32644,1.24555,0.8735,1.03145,0.005248,0.005248,0.005248
98,11318.9,1.22805,0.82317,1.01699,0.61351,0.49197,0.52621,0.32656,1.24619,0.87443,1.03149,0.0051985,0.0051985,0.0051985
99,11434.3,1.22831,0.82354,1.01908,0.6163,0.4925,0.52722,0.32687,1.24708,0.87451,1.03151,0.005149,0.005149,0.005149
100,11549.6,1.22912,0.82546,1.01675,0.62114,0.49122,0.52707,0.32712,1.24746,0.874,1.03095,0.0050995,0.0050995,0.0050995
101,11664.5,1.22386,0.81804,1.01648,0.61325,0.49359,0.52707,0.32752,1.24524,0.87242,1.02982,0.00505,0.00505,0.00505
