epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.464,4.47463,4.82276,3.75437,0.00166,0.01926,0.00139,0.00035,4.03781,4.10189,3.1633,0.0700741,0.0033251,0.0033251
2,190.306,3.34955,3.53972,2.56758,0.04234,0.08594,0.03971,0.01592,3.02088,2.97329,2.10587,0.0400411,0.00662548,0.00662548
3,272.621,2.44063,2.5714,1.78939,0.21982,0.14069,0.09082,0.04475,2.13566,2.0878,1.59828,0.00997516,0.00989285,0.00989285
4,356.663,2.11489,2.13484,1.5683,0.20011,0.16885,0.13822,0.07077,1.89742,1.79494,1.45451,0.0098515,0.0098515,0.0098515
5,440.432,1.94473,1.89805,1.46027,0.21902,0.20648,0.16794,0.08981,1.79921,1.61759,1.38061,0.009802,0.009802,0.009802
6,523.094,1.82907,1.72317,1.39278,0.26606,0.24643,0.21174,0.11431,1.66686,1.50278,1.31939,0.0097525,0.0097525,0.0097525
7,606.292,1.76293,1.61093,1.35028,0.3222,0.26933,0.24172,0.135,1.61562,1.40194,1.29273,0.009703,0.009703,0.009703
8,689.473,1.70276,1.53678,1.32257,0.3561,0.28436,0.26021,0.1449,1.58143,1.3407,1.26593,0.0096535,0.0096535,0.0096535
9,771.248,1.66458,1.46953,1.29799,0.33813,0.30312,0.26978,0.15234,1.55801,1.29229,1.25069,0.009604,0.009604,0.009604
10,854.105,1.62651,1.4087,1.27756,0.38257,0.30924,0.29571,0.16909,1.51806,1.25848,1.22964,0.0095545,0.0095545,0.0095545
11,937.13,1.6054,1.37595,1.2625,0.41304,0.31408,0.31367,0.17934,1.49475,1.22803,1.21891,0.009505,0.009505,0.009505
12,1019.24,1.58606,1.35604,1.25773,0.4136,0.32836,0.32004,0.18114,1.48148,1.20042,1.2099,0.0094555,0.0094555,0.0094555
13,1102.29,1.56891,1.32237,1.24283,0.44308,0.33801,0.33751,0.19311,1.45929,1.17373,1.20166,0.009406,0.009406,0.009406
14,1184.85,1.54686,1.28972,1.2317,0.43192,0.34698,0.34236,0.1966,1.44943,1.15427,1.19325,0.0093565,0.0093565,0.0093565
15,1266.84,1.52278,1.25192,1.21134,0.44742,0.34596,0.34936,0.20358,1.43592,1.1481,1.18436,0.009307,0.009307,0.009307
16,1349.11,1.51674,1.25193,1.21805,0.44234,0.34505,0.3466,0.20083,1.44565,1.14993,1.18859,0.0092575,0.0092575,0.0092575
17,1430.53,1.517,1.24111,1.2094,0.45483,0.36058,0.36152,0.21267,1.41258,1.11803,1.1719,0.009208,0.009208,0.009208
18,1512.34,1.50087,1.21158,1.2023,0.46698,0.36461,0.37084,0.21518,1.41147,1.10479,1.16988,0.0091585,0.0091585,0.0091585
19,1594.72,1.48324,1.19743,1.19829,0.46999,0.37354,0.37487,0.22056,1.40476,1.09254,1.16622,0.009109,0.009109,0.009109
20,1677.02,1.48263,1.18235,1.18769,0.46586,0.37996,0.37839,0.22147,1.40085,1.08549,1.16583,0.0090595,0.0090595,0.0090595
21,1759.04,1.46374,1.16495,1.18138,0.49352,0.37249,0.38759,0.22937,1.38792,1.06923,1.15648,0.00901,0.00901,0.00901
22,1842.4,1.46211,1.14959,1.17643,0.47536,0.38165,0.38847,0.22809,1.39459,1.06752,1.15882,0.0089605,0.0089605,0.0089605
23,1923.62,1.45041,1.14363,1.16944,0.48329,0.38775,0.39372,0.23105,1.38975,1.05946,1.15442,0.008911,0.008911,0.008911
24,2005.13,1.43551,1.11981,1.16627,0.48902,0.38552,0.3939,0.23194,1.37794,1.05512,1.15136,0.0088615,0.0088615,0.0088615
25,2086.66,1.43823,1.12052,1.16388,0.49346,0.38853,0.39585,0.23513,1.36667,1.05154,1.14642,0.008812,0.008812,0.008812
26,2168.41,1.42326,1.11675,1.16925,0.49762,0.40174,0.40719,0.24221,1.36569,1.03385,1.14378,0.0087625,0.0087625,0.0087625
27,2249.92,1.41948,1.10015,1.15931,0.49735,0.40081,0.40894,0.24235,1.35711,1.02918,1.14075,0.008713,0.008713,0.008713
28,2331.76,1.42641,1.10274,1.16327,0.5031,0.39876,0.40941,0.24362,1.35446,1.03218,1.13757,0.0086635,0.0086635,0.0086635
29,2413.24,1.41235,1.08843,1.15469,0.51211,0.40508,0.41416,0.24725,1.35642,1.02191,1.13816,0.008614,0.008614,0.008614
30,2494.36,1.40906,1.08095,1.14692,0.51182,0.40222,0.41461,0.24781,1.34745,1.01894,1.13365,0.0085645,0.0085645,0.0085645
31,2575.98,1.40968,1.07484,1.1496,0.50146,0.41235,0.41921,0.25012,1.34768,1.01443,1.13401,0.008515,0.008515,0.008515
32,2657.49,1.39486,1.05829,1.14523,0.5176,0.40914,0.41932,0.25084,1.33986,1.0035,1.12838,0.0084655,0.0084655,0.0084655
33,2738.24,1.39186,1.05547,1.14767,0.5068,0.41572,0.42133,0.2525,1.3349,1.00707,1.12813,0.008416,0.008416,0.008416
34,2819.45,1.38273,1.04433,1.14617,0.50781,0.41846,0.42389,0.25448,1.3377,1.00234,1.12776,0.0083665,0.0083665,0.0083665
35,2900.33,1.37497,1.04211,1.14207,0.51821,0.41049,0.42407,0.25465,1.33237,0.9973,1.12397,0.008317,0.008317,0.008317
36,2981.05,1.38728,1.04648,1.13514,0.52812,0.41074,0.42785,0.25703,1.33095,0.98844,1.12341,0.0082675,0.0082675,0.0082675
37,3062.84,1.38772,1.03817,1.1399,0.54135,0.41442,0.43282,0.25959,1.32156,0.98067,1.12015,0.008218,0.008218,0.008218
38,3143.89,1.38094,1.02928,1.13529,0.52921,0.42174,0.43328,0.26063,1.32583,0.97729,1.1206,0.0081685,0.0081685,0.0081685
39,3225.13,1.38365,1.03444,1.13681,0.53682,0.42601,0.43893,0.26431,1.32401,0.97974,1.11974,0.008119,0.008119,0.008119
40,3307.01,1.37315,1.01896,1.12971,0.53008,0.4292,0.43635,0.26343,1.32113,0.98009,1.12002,0.0080695,0.0080695,0.0080695
41,3387.35,1.36544,1.01578,1.13187,0.54251,0.42303,0.44478,0.26769,1.3159,0.96854,1.11467,0.00802,0.00802,0.00802
42,3469.09,1.35328,1.00096,1.12137,0.53756,0.42495,0.44073,0.26638,1.31347,0.97309,1.11421,0.0079705,0.0079705,0.0079705
43,3549.57,1.35287,1.00331,1.12138,0.53126,0.42544,0.4424,0.26714,1.31483,0.97223,1.11524,0.007921,0.007921,0.007921
44,3630.24,1.36378,1.00773,1.12008,0.53054,0.43234,0.44542,0.26865,1.31793,0.96877,1.11725,0.0078715,0.0078715,0.0078715
45,3711.61,1.35619,1.00021,1.12791,0.54477,0.42765,0.44693,0.27101,1.30641,0.95995,1.11216,0.007822,0.007822,0.007822
46,3792.95,1.35277,0.99977,1.12225,0.53754,0.44018,0.45127,0.27331,1.30764,0.95885,1.111,0.0077725,0.0077725,0.0077725
47,3873.81,1.35769,0.9973,1.12722,0.55189,0.43391,0.45151,0.27342,1.30285,0.95925,1.10989,0.007723,0.007723,0.007723
48,3955.26,1.35546,0.98556,1.11976,0.5568,0.43613,0.45628,0.27526,1.30352,0.94886,1.10918,0.0076735,0.0076735,0.0076735
49,4036.06,1.32769,0.97069,1.11213,0.55957,0.43141,0.45655,0.27504,1.30003,0.94907,1.10859,0.007624,0.007624,0.007624
50,4116.68,1.33617,0.9812,1.11318,0.54002,0.4427,0.45604,0.27679,1.29992,0.95122,1.10717,0.0075745,0.0075745,0.0075745
51,4198.22,1.32618,0.96734,1.11093,0.55976,0.43447,0.45819,0.27811,1.29957,0.94917,1.10622,0.007525,0.007525,0.007525
52,4279.21,1.32992,0.96758,1.11088,0.55562,0.43684,0.45747,0.27822,1.29766,0.94674,1.10403,0.0074755,0.0074755,0.0074755
53,4360.58,1.33526,0.96922,1.11099,0.5645,0.43926,0.46171,0.28045,1.30029,0.94276,1.10603,0.007426,0.007426,0.007426
54,4442.21,1.33697,0.96964,1.11055,0.55566,0.44039,0.46284,0.28003,1.2964,0.94263,1.10357,0.0073765,0.0073765,0.0073765
55,4522.4,1.3315,0.96243,1.10628,0.55357,0.4423,0.46367,0.28153,1.29501,0.94064,1.10369,0.007327,0.007327,0.007327
56,4603.84,1.32598,0.95929,1.10888,0.55443,0.44457,0.46616,0.28199,1.29038,0.93818,1.10058,0.0072775,0.0072775,0.0072775
57,4684.75,1.32143,0.96036,1.11153,0.56017,0.44493,0.46789,0.28318,1.29412,0.93587,1.10132,0.007228,0.007228,0.007228
58,4766.18,1.32621,0.95208,1.10686,0.56616,0.44203,0.46655,0.28314,1.29274,0.93724,1.10128,0.0071785,0.0071785,0.0071785
59,4846.7,1.32725,0.95427,1.10813,0.55919,0.44935,0.46806,0.28465,1.28809,0.93181,1.09959,0.007129,0.007129,0.007129
60,4927.85,1.31913,0.94726,1.09954,0.57156,0.44012,0.46938,0.28463,1.2894,0.93146,1.09945,0.0070795,0.0070795,0.0070795
61,5009.62,1.32267,0.9487,1.10299,0.56044,0.44662,0.46708,0.28454,1.28385,0.92995,1.09627,0.00703,0.00703,0.00703
62,5089.55,1.31508,0.94193,1.10046,0.55862,0.44956,0.46896,0.28369,1.28403,0.92976,1.09543,0.0069805,0.0069805,0.0069805
63,5169.73,1.3226,0.94233,1.10377,0.56,0.45195,0.46998,0.28596,1.28695,0.92884,1.09643,0.006931,0.006931,0.006931
64,5251.42,1.33088,0.95175,1.10375,0.56105,0.45097,0.47098,0.28719,1.29227,0.93565,1.09696,0.0068815,0.0068815,0.0068815
65,5332.21,1.32741,0.95026,1.1008,0.55739,0.45255,0.47199,0.2879,1.29649,0.93946,1.09623,0.006832,0.006832,0.006832
66,5413.43,1.3303,0.95025,1.09978,0.57002,0.4485,0.47298,0.28761,1.29937,0.93804,1.09498,0.0067825,0.0067825,0.0067825
67,5494.05,1.32774,0.94862,1.09539,0.57271,0.44515,0.47231,0.28872,1.29772,0.9386,1.09304,0.006733,0.006733,0.006733
68,5574.82,1.32385,0.94418,1.08869,0.56754,0.44759,0.47264,0.28964,1.29649,0.93891,1.0893,0.0066835,0.0066835,0.0066835
69,5656.51,1.33273,0.94937,1.08704,0.57188,0.44747,0.47485,0.29024,1.29917,0.94359,1.0878,0.006634,0.006634,0.006634
70,5737.71,1.32631,0.94398,1.08696,0.57616,0.4504,0.47387,0.28901,1.30069,0.94144,1.08749,0.0065845,0.0065845,0.0065845
71,5818.26,1.33402,0.95175,1.08832,0.56863,0.45148,0.47456,0.29084,1.29851,0.93827,1.08517,0.006535,0.006535,0.006535
72,5899.87,1.33133,0.94997,1.08692,0.56715,0.45292,0.47391,0.29038,1.29876,0.93913,1.08284,0.0064855,0.0064855,0.0064855
73,5980.31,1.32554,0.93815,1.08201,0.56184,0.45676,0.47643,0.29287,1.29669,0.93716,1.08171,0.006436,0.006436,0.006436
74,6062.19,1.32121,0.93821,1.07825,0.56769,0.45509,0.47747,0.29275,1.29703,0.93622,1.0815,0.0063865,0.0063865,0.0063865
75,6143.53,1.31531,0.93473,1.08026,0.56646,0.45548,0.47792,0.2921,1.29817,0.9348,1.08067,0.006337,0.006337,0.006337
76,6223.98,1.3143,0.92548,1.07571,0.57499,0.45465,0.47984,0.29301,1.29682,0.93309,1.08006,0.0062875,0.0062875,0.0062875
77,6305.53,1.32868,0.93243,1.08347,0.58708,0.45274,0.48071,0.29401,1.29653,0.93323,1.07942,0.006238,0.006238,0.006238
78,6386.09,1.31207,0.93223,1.07642,0.5587,0.46223,0.47831,0.29343,1.29525,0.93301,1.07851,0.0061885,0.0061885,0.0061885
79,6466.65,1.32133,0.93708,1.07744,0.57819,0.45229,0.48002,0.29466,1.29466,0.93077,1.07739,0.006139,0.006139,0.006139
80,6548.45,1.31064,0.92576,1.07326,0.58116,0.45417,0.48217,0.29502,1.29599,0.92948,1.07765,0.0060895,0.0060895,0.0060895
81,6629.09,1.31077,0.92317,1.07076,0.57285,0.45836,0.48199,0.29508,1.29524,0.93162,1.07716,0.00604,0.00604,0.00604
82,6710.83,1.30921,0.92671,1.07502,0.57503,0.46022,0.48066,0.29432,1.2941,0.92957,1.07618,0.0059905,0.0059905,0.0059905
83,6791.72,1.31137,0.92812,1.07625,0.57118,0.46184,0.48306,0.29644,1.29482,0.92762,1.07545,0.005941,0.005941,0.005941
84,6872.49,1.29713,0.91728,1.06879,0.57584,0.45977,0.48299,0.29658,1.29236,0.9273,1.07384,0.0058915,0.0058915,0.0058915
85,6954.34,1.3039,0.91524,1.06947,0.57878,0.4609,0.48461,0.29745,1.29206,0.92613,1.07321,0.005842,0.005842,0.005842
86,7034.88,1.30244,0.91933,1.07149,0.57744,0.46146,0.48613,0.29804,1.29004,0.92368,1.07237,0.0057925,0.0057925,0.0057925
87,7116.45,1.30852,0.91913,1.06928,0.57513,0.46011,0.48596,0.29776,1.2896,0.92326,1.07304,0.005743,0.005743,0.005743
88,7197.1,1.2939,0.90775,1.06881,0.57551,0.46097,0.48545,0.29786,1.28956,0.923,1.07258,0.0056935,0.0056935,0.0056935
89,7276.96,1.30342,0.90913,1.06649,0.58389,0.45836,0.48569,0.29887,1.28764,0.92374,1.07068,0.005644,0.005644,0.005644
90,7358.15,1.3019,0.90783,1.06725,0.57725,0.4669,0.48675,0.29987,1.2873,0.92193,1.07031,0.0055945,0.0055945,0.0055945
