epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.5995,4.28018,4.54508,3.40063,0.10855,0.01242,0.00393,0.00099,3.71159,3.68857,2.83355,0.0700741,0.0033251,0.0033251
2,146.603,3.2818,3.52129,2.37085,0.04412,0.10436,0.04144,0.01615,2.69173,2.7245,1.98495,0.0400411,0.00662548,0.00662548
3,212.3,2.60878,2.82756,1.84807,0.08761,0.13116,0.0767,0.03418,2.29001,2.34366,1.6724,0.00997516,0.00989285,0.00989285
4,275.875,2.30454,2.45507,1.64295,0.32013,0.12408,0.09586,0.04717,2.07434,2.06831,1.52279,0.0098515,0.0098515,0.0098515
5,341.534,2.1357,2.23038,1.52965,0.12634,0.15058,0.10812,0.05266,2.04655,1.98656,1.46475,0.009802,0.009802,0.009802
6,405.628,2.02604,2.07338,1.46252,0.15554,0.18278,0.13368,0.0679,1.8619,1.8331,1.39274,0.0097525,0.0097525,0.0097525
7,467.331,1.96603,1.96746,1.42041,0.20446,0.1876,0.14758,0.07706,1.83157,1.7026,1.37106,0.009703,0.009703,0.009703
8,530.337,1.912,1.89084,1.39167,0.22975,0.19895,0.16521,0.08821,1.77364,1.64353,1.3326,0.0096535,0.0096535,0.0096535
9,591.51,1.87505,1.82377,1.36361,0.25174,0.21696,0.17537,0.09447,1.75244,1.58212,1.30943,0.009604,0.009604,0.009604
10,653.944,1.84374,1.76061,1.34531,0.24277,0.21699,0.18113,0.09772,1.72645,1.56564,1.29381,0.0095545,0.0095545,0.0095545
11,715.546,1.8245,1.72725,1.32927,0.2728,0.22423,0.19648,0.10583,1.7084,1.52224,1.29209,0.009505,0.009505,0.009505
12,776.902,1.80645,1.70913,1.32305,0.28396,0.23392,0.20899,0.11502,1.68801,1.4957,1.27536,0.0094555,0.0094555,0.0094555
13,838.859,1.78865,1.66671,1.30628,0.29875,0.24161,0.21686,0.11936,1.6742,1.46349,1.26243,0.009406,0.009406,0.009406
14,900.815,1.76943,1.63858,1.29347,0.29524,0.24163,0.22082,0.12103,1.66647,1.45691,1.25332,0.0093565,0.0093565,0.0093565
15,962.456,1.7472,1.59761,1.2714,0.28674,0.2529,0.22225,0.12466,1.64582,1.42629,1.23954,0.009307,0.009307,0.009307
16,1024.39,1.74139,1.59631,1.27657,0.31624,0.26636,0.23651,0.13299,1.63941,1.42304,1.23311,0.0092575,0.0092575,0.0092575
17,1085.96,1.75179,1.59377,1.26768,0.32399,0.26698,0.24495,0.13815,1.62199,1.39484,1.21838,0.009208,0.009208,0.009208
18,1147.14,1.74097,1.56673,1.25972,0.33807,0.27093,0.25163,0.14153,1.61292,1.3934,1.20897,0.0091585,0.0091585,0.0091585
19,1209.71,1.71988,1.55066,1.24839,0.34586,0.27858,0.25886,0.14663,1.614,1.38161,1.20157,0.009109,0.009109,0.009109
20,1271.68,1.72758,1.54189,1.23579,0.34463,0.27854,0.25999,0.14668,1.61147,1.38443,1.19442,0.0090595,0.0090595,0.0090595
21,1333.35,1.70727,1.52151,1.2264,0.33744,0.29106,0.26647,0.15162,1.59405,1.34986,1.1883,0.00901,0.00901,0.00901
22,1395.81,1.7074,1.503,1.21953,0.35064,0.29662,0.27184,0.15352,1.59396,1.35878,1.1823,0.0089605,0.0089605,0.0089605
23,1457.12,1.69529,1.5016,1.21098,0.3496,0.29366,0.27387,0.15448,1.59722,1.33859,1.18537,0.008911,0.008911,0.008911
24,1519.31,1.67919,1.4712,1.20431,0.35736,0.29405,0.2752,0.15673,1.58098,1.33709,1.17287,0.0088615,0.0088615,0.0088615
25,1580.64,1.68121,1.47095,1.19915,0.37135,0.29696,0.27794,0.15872,1.57329,1.33041,1.16925,0.008812,0.008812,0.008812
26,1641.57,1.66912,1.47243,1.20388,0.387,0.29011,0.28135,0.16245,1.56434,1.31677,1.16273,0.0087625,0.0087625,0.0087625
27,1702.09,1.66554,1.45336,1.19254,0.39031,0.30024,0.28614,0.16564,1.55405,1.3041,1.15264,0.008713,0.008713,0.008713
28,1763.52,1.66895,1.45034,1.19268,0.36863,0.30476,0.28714,0.16408,1.55103,1.30683,1.15062,0.0086635,0.0086635,0.0086635
29,1824.91,1.65647,1.43568,1.18363,0.36814,0.31018,0.29022,0.16563,1.55187,1.29244,1.14986,0.008614,0.008614,0.008614
30,1885.31,1.6555,1.43358,1.17788,0.3822,0.30726,0.28994,0.16658,1.55234,1.28882,1.14479,0.0085645,0.0085645,0.0085645
31,1946.4,1.65508,1.42034,1.17812,0.39398,0.302,0.29492,0.16944,1.54346,1.29245,1.14316,0.008515,0.008515,0.008515
32,2008.54,1.63592,1.40174,1.17035,0.38175,0.31057,0.2973,0.17155,1.53508,1.27599,1.13562,0.0084655,0.0084655,0.0084655
33,2070.57,1.63397,1.3968,1.17183,0.3864,0.31746,0.30053,0.17346,1.53551,1.2746,1.13817,0.008416,0.008416,0.008416
34,2131.77,1.6272,1.38747,1.17019,0.39271,0.3147,0.3022,0.17446,1.53687,1.26497,1.13466,0.0083665,0.0083665,0.0083665
35,2192.89,1.61457,1.38292,1.16437,0.40637,0.31295,0.30649,0.17681,1.52793,1.26375,1.12765,0.008317,0.008317,0.008317
