epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.94,4.45709,4.61297,3.51995,0.00277,0.02489,0.00202,0.00051,3.93204,3.97325,2.97707,0.0700741,0.0033251,0.0033251
2,259.159,3.35224,3.50927,2.46064,0.0469,0.0783,0.03471,0.01375,3.03848,3.08756,2.04444,0.0400411,0.00662548,0.00662548
3,334.962,2.51375,2.68934,1.8029,0.09148,0.14003,0.08309,0.03919,2.22454,2.22252,1.62847,0.00997516,0.00989285,0.00989285
4,410.872,2.19456,2.29321,1.59849,0.22752,0.1459,0.11029,0.05512,1.97755,1.93235,1.49007,0.0098515,0.0098515,0.0098515
5,488.034,2.02834,2.04551,1.49151,0.18035,0.18318,0.14244,0.07363,1.90134,1.77265,1.41764,0.009802,0.009802,0.009802
6,564,1.91537,1.87402,1.42417,0.17904,0.21215,0.16156,0.08423,1.77388,1.67561,1.35233,0.0097525,0.0097525,0.0097525
7,638.316,1.84797,1.7596,1.37782,0.27142,0.2326,0.20081,0.10919,1.69281,1.50635,1.31626,0.009703,0.009703,0.009703
8,712.46,1.78931,1.67709,1.35118,0.29803,0.24487,0.21733,0.11901,1.64903,1.44038,1.28574,0.0096535,0.0096535,0.0096535
9,785.327,1.74794,1.60582,1.32538,0.30039,0.26294,0.22917,0.12445,1.64014,1.40307,1.27589,0.009604,0.009604,0.009604
10,859.497,1.71382,1.54114,1.30615,0.33861,0.26451,0.23711,0.13242,1.62508,1.39364,1.263,0.0095545,0.0095545,0.0095545
11,932.75,1.69163,1.50779,1.29015,0.34242,0.27129,0.2605,0.14502,1.58684,1.3475,1.25075,0.009505,0.009505,0.009505
12,1005.89,1.67313,1.48482,1.28379,0.36025,0.29249,0.27301,0.1538,1.55171,1.2959,1.22943,0.0094555,0.0094555,0.0094555
13,1078.8,1.65504,1.44579,1.27072,0.36017,0.30621,0.28301,0.15806,1.5551,1.29363,1.23501,0.009406,0.009406,0.009406
14,1152.53,1.63527,1.41829,1.25941,0.38779,0.30361,0.29662,0.16731,1.5252,1.26082,1.2149,0.0093565,0.0093565,0.0093565
15,1227.58,1.613,1.3783,1.23889,0.38961,0.31346,0.29961,0.1704,1.51011,1.24109,1.20767,0.009307,0.009307,0.009307
16,1299.86,1.60747,1.37651,1.24704,0.40609,0.30804,0.30003,0.17228,1.51789,1.25207,1.20727,0.0092575,0.0092575,0.0092575
17,1371.19,1.60723,1.36722,1.23686,0.4176,0.31379,0.30881,0.17776,1.50094,1.21658,1.19678,0.009208,0.009208,0.009208
18,1443.31,1.59273,1.33593,1.22981,0.417,0.32402,0.31859,0.18224,1.49223,1.20919,1.19286,0.0091585,0.0091585,0.0091585
19,1515.66,1.57259,1.32292,1.223,0.41406,0.33216,0.32871,0.18921,1.48097,1.19352,1.18419,0.009109,0.009109,0.009109
20,1587.71,1.57768,1.31176,1.21311,0.4287,0.33258,0.32943,0.1907,1.48061,1.1907,1.18047,0.0090595,0.0090595,0.0090595
21,1660.77,1.56624,1.30258,1.20473,0.43212,0.33428,0.33334,0.19329,1.47897,1.18868,1.17585,0.00901,0.00901,0.00901
22,1733.27,1.56829,1.28516,1.1999,0.43162,0.33788,0.33484,0.19367,1.47661,1.18938,1.16878,0.0089605,0.0089605,0.0089605
23,1804.46,1.55689,1.28345,1.18962,0.43465,0.34845,0.34529,0.2004,1.48619,1.18248,1.16625,0.008911,0.008911,0.008911
24,1876.8,1.54234,1.26026,1.18549,0.43961,0.33978,0.33704,0.19695,1.4669,1.17989,1.1576,0.0088615,0.0088615,0.0088615
25,1947.75,1.54828,1.2654,1.18061,0.44481,0.35117,0.3472,0.2033,1.46492,1.17388,1.15651,0.008812,0.008812,0.008812
26,2019.39,1.53493,1.26338,1.18574,0.44907,0.34861,0.34978,0.20591,1.4554,1.15509,1.14923,0.0087625,0.0087625,0.0087625
27,2091.61,1.53144,1.2474,1.17286,0.4498,0.35889,0.35208,0.20584,1.45291,1.1539,1.1437,0.008713,0.008713,0.008713
28,2164.37,1.53662,1.24746,1.17471,0.4514,0.34649,0.35465,0.20935,1.44922,1.15261,1.14112,0.0086635,0.0086635,0.0086635
29,2236.3,1.52648,1.23535,1.16543,0.46054,0.35379,0.36215,0.21252,1.45033,1.14829,1.13985,0.008614,0.008614,0.008614
30,2308.17,1.52321,1.2313,1.1587,0.44999,0.36199,0.36226,0.21363,1.43774,1.13554,1.13423,0.0085645,0.0085645,0.0085645
31,2379.76,1.52356,1.22161,1.16041,0.46669,0.35683,0.36136,0.21302,1.44068,1.13717,1.13425,0.008515,0.008515,0.008515
32,2450.87,1.50853,1.2042,1.15492,0.46059,0.36744,0.37098,0.21977,1.42989,1.12893,1.12687,0.0084655,0.0084655,0.0084655
33,2522.25,1.50594,1.20433,1.15602,0.45308,0.37643,0.37099,0.21894,1.42793,1.12167,1.12672,0.008416,0.008416,0.008416
34,2593.03,1.49883,1.19279,1.1555,0.47863,0.36065,0.37236,0.22041,1.4267,1.12058,1.12697,0.0083665,0.0083665,0.0083665
35,2664.01,1.48807,1.19028,1.15016,0.48192,0.37039,0.37982,0.22435,1.42172,1.11257,1.11949,0.008317,0.008317,0.008317
