epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6332,5.5719,5.98981,4.11091,0.00029,0.00108,0.00015,4e-05,5.54512,5.16151,3.87342,0.0700741,0.0033251,0.0033251
2,117.417,3.53693,3.23288,2.21469,0.04693,0.14259,0.05694,0.0238,2.51484,2.20922,1.41796,0.0400411,0.00662548,0.00662548
3,169.763,2.37618,2.15493,1.35178,0.12746,0.11704,0.08599,0.0402,2.14024,1.79785,1.22747,0.00997516,0.00989285,0.00989285
4,222.274,2.06333,1.83865,1.22195,0.197,0.16201,0.12174,0.06308,1.79943,1.56796,1.11661,0.0098515,0.0098515,0.0098515
5,274.293,1.89234,1.66024,1.15672,0.19092,0.17549,0.13022,0.06634,1.80255,1.4862,1.10188,0.009802,0.009802,0.009802
6,326.498,1.77677,1.51907,1.11348,0.25432,0.20219,0.17297,0.09283,1.61235,1.31324,1.04982,0.0097525,0.0097525,0.0097525
7,377.999,1.69707,1.42506,1.08783,0.28329,0.22094,0.19725,0.1075,1.57362,1.26165,1.04286,0.009703,0.009703,0.009703
8,429.677,1.63826,1.35774,1.07211,0.30938,0.241,0.2113,0.11654,1.52581,1.25331,1.02098,0.0096535,0.0096535,0.0096535
9,481.382,1.59042,1.30318,1.05608,0.32506,0.24254,0.22796,0.12456,1.51059,1.16153,1.01265,0.009604,0.009604,0.009604
10,533.064,1.55453,1.24186,1.04515,0.3378,0.25024,0.23378,0.13223,1.45925,1.14783,1.00029,0.0095545,0.0095545,0.0095545
11,584.102,1.5218,1.21785,1.03165,0.36421,0.26436,0.25684,0.14549,1.42709,1.10351,0.99499,0.009505,0.009505,0.009505
12,635.342,1.50539,1.20213,1.03192,0.36992,0.27883,0.26826,0.15232,1.39035,1.07422,0.9834,0.0094555,0.0094555,0.0094555
13,686.995,1.4815,1.16758,1.02251,0.38663,0.29566,0.28167,0.15963,1.3782,1.05568,0.98063,0.009406,0.009406,0.009406
14,738.435,1.46048,1.14431,1.01392,0.38345,0.29144,0.28133,0.16204,1.37035,1.04777,0.9787,0.0093565,0.0093565,0.0093565
15,790.284,1.43481,1.11171,1.00169,0.39245,0.30246,0.29043,0.16632,1.35572,1.02398,0.97167,0.009307,0.009307,0.009307
16,841.667,1.42485,1.10121,1.00611,0.39517,0.31008,0.29666,0.17065,1.35134,1.01224,0.97092,0.0092575,0.0092575,0.0092575
17,893.512,1.42669,1.09847,1.00155,0.40283,0.3112,0.30142,0.17614,1.32356,1.00171,0.96198,0.009208,0.009208,0.009208
18,944.921,1.40891,1.07215,0.99692,0.41173,0.31807,0.31229,0.18053,1.31151,0.98211,0.95816,0.0091585,0.0091585,0.0091585
19,996.123,1.38216,1.0508,0.99062,0.42284,0.32788,0.31924,0.18703,1.30329,0.9709,0.95765,0.009109,0.009109,0.009109
20,1047.38,1.38341,1.04038,0.98533,0.42361,0.32762,0.32241,0.18898,1.30003,0.96251,0.95752,0.0090595,0.0090595,0.0090595
21,1098.98,1.36532,1.02675,0.98081,0.4277,0.32453,0.32408,0.18972,1.2872,0.95242,0.95364,0.00901,0.00901,0.00901
22,1150.63,1.36188,1.00856,0.97873,0.42957,0.33936,0.33216,0.19566,1.27879,0.94585,0.94759,0.0089605,0.0089605,0.0089605
23,1202.13,1.35061,1.00646,0.97332,0.43853,0.3365,0.33469,0.19612,1.2823,0.94056,0.95093,0.008911,0.008911,0.008911
24,1253.86,1.33496,0.9825,0.97403,0.42899,0.34162,0.337,0.19903,1.26285,0.93657,0.94483,0.0088615,0.0088615,0.0088615
25,1305.66,1.33671,0.98745,0.97266,0.44424,0.34296,0.33919,0.20104,1.2539,0.92924,0.94323,0.008812,0.008812,0.008812
26,1356.93,1.32288,0.98028,0.9773,0.45721,0.34255,0.34479,0.20367,1.25088,0.91849,0.94256,0.0087625,0.0087625,0.0087625
27,1408.12,1.31654,0.96595,0.96889,0.44587,0.34319,0.34356,0.20241,1.24652,0.90959,0.94252,0.008713,0.008713,0.008713
28,1459.05,1.31932,0.96882,0.971,0.45805,0.3498,0.3525,0.20944,1.24209,0.90498,0.93825,0.0086635,0.0086635,0.0086635
29,1510.7,1.30372,0.95194,0.96572,0.46164,0.35347,0.35395,0.20895,1.23729,0.90386,0.93752,0.008614,0.008614,0.008614
30,1560.9,1.30378,0.95057,0.9623,0.44455,0.35889,0.35462,0.21081,1.23183,0.89298,0.93548,0.0085645,0.0085645,0.0085645
