epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6612,4.59267,4.46463,3.14231,0.02096,0.02655,0.01068,0.00314,3.41934,3.10437,1.91396,0.0700741,0.0033251,0.0033251
2,98.4564,2.8778,2.61834,1.60652,0.12445,0.09034,0.06823,0.02941,2.44456,2.02336,1.3309,0.0400411,0.00662548,0.00662548
3,143.388,2.30386,2.06608,1.31317,0.16233,0.13641,0.09599,0.04693,2.00651,1.7613,1.19689,0.00997516,0.00989285,0.00989285
4,187.97,2.05041,1.78525,1.21302,0.2124,0.16526,0.13538,0.06992,1.79887,1.54415,1.11927,0.0098515,0.0098515,0.0098515
5,232.55,1.88638,1.6231,1.15417,0.22535,0.20377,0.16185,0.08436,1.70827,1.38492,1.07344,0.009802,0.009802,0.009802
6,276.859,1.77026,1.48647,1.11155,0.29168,0.21873,0.19149,0.10266,1.58755,1.28033,1.04548,0.0097525,0.0097525,0.0097525
7,321.063,1.69769,1.40212,1.08746,0.2903,0.22898,0.20747,0.11363,1.56221,1.22833,1.03393,0.009703,0.009703,0.009703
8,366.217,1.64015,1.33658,1.07288,0.31771,0.24896,0.22098,0.12221,1.52325,1.23217,1.02027,0.0096535,0.0096535,0.0096535
9,410.988,1.58977,1.28829,1.05739,0.34149,0.25282,0.23803,0.13264,1.48568,1.14047,1.00858,0.009604,0.009604,0.009604
10,458.613,1.55886,1.23023,1.04602,0.34253,0.26662,0.24622,0.13957,1.44676,1.11307,0.99811,0.0095545,0.0095545,0.0095545
11,506.423,1.52766,1.20704,1.03327,0.38317,0.27253,0.25995,0.14449,1.44204,1.08915,0.99643,0.009505,0.009505,0.009505
12,553.073,1.50694,1.19139,1.03217,0.36999,0.28351,0.27147,0.15416,1.40261,1.06442,0.98538,0.0094555,0.0094555,0.0094555
13,598.228,1.49065,1.16079,1.0252,0.38215,0.29216,0.28005,0.15913,1.38724,1.06586,0.98327,0.009406,0.009406,0.009406
14,642.916,1.46795,1.13833,1.01662,0.39289,0.29542,0.28301,0.16171,1.37355,1.04178,0.97887,0.0093565,0.0093565,0.0093565
15,687.953,1.44449,1.10701,1.00434,0.38958,0.3007,0.28965,0.16624,1.36284,1.03303,0.97353,0.009307,0.009307,0.009307
