epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5569,4.40917,4.12131,2.67519,0.02138,0.03184,0.01953,0.00634,3.35336,3.01288,1.7899,0.0700741,0.0033251,0.0033251
2,70.9773,2.98025,2.75689,1.59825,0.07217,0.11312,0.05562,0.02297,2.485,2.27154,1.37227,0.0400411,0.00662548,0.00662548
3,102.348,2.47594,2.27104,1.37484,0.25578,0.11073,0.07353,0.03212,2.28161,2.00252,1.29244,0.00997516,0.00989285,0.00989285
4,134.139,2.22956,2.01186,1.27994,0.24673,0.12515,0.09987,0.0494,1.96435,1.68693,1.18587,0.0098515,0.0098515,0.0098515
5,165.601,2.08221,1.86226,1.222,0.1697,0.15602,0.11226,0.05458,1.92229,1.5985,1.13957,0.009802,0.009802,0.009802
6,196.361,1.97628,1.73777,1.18002,0.17276,0.18334,0.1279,0.06326,1.79867,1.54842,1.11014,0.0097525,0.0097525,0.0097525
7,227.758,1.91427,1.66767,1.15608,0.20468,0.18216,0.14088,0.07218,1.74491,1.43929,1.08548,0.009703,0.009703,0.009703
8,259.477,1.85338,1.60157,1.14131,0.23453,0.18666,0.14806,0.07874,1.70956,1.43016,1.07375,0.0096535,0.0096535,0.0096535
9,290.164,1.81287,1.55607,1.12663,0.22362,0.18931,0.15621,0.0799,1.71669,1.3686,1.06769,0.009604,0.009604,0.009604
10,320.817,1.78016,1.49981,1.11296,0.2484,0.20307,0.16423,0.08754,1.65944,1.33436,1.05685,0.0095545,0.0095545,0.0095545
11,351.344,1.75268,1.4784,1.10136,0.26925,0.20357,0.17761,0.09419,1.62953,1.3114,1.05076,0.009505,0.009505,0.009505
12,381.809,1.73594,1.46635,1.10031,0.27202,0.22097,0.19142,0.10183,1.60144,1.27838,1.04095,0.0094555,0.0094555,0.0094555
13,413.365,1.72024,1.43659,1.09208,0.28208,0.21707,0.18937,0.1,1.60871,1.27331,1.04416,0.009406,0.009406,0.009406
14,443.821,1.70124,1.41574,1.08364,0.2978,0.21333,0.19103,0.10234,1.58579,1.2577,1.03607,0.0093565,0.0093565,0.0093565
15,474.864,1.67588,1.38033,1.07026,0.30051,0.22876,0.19659,0.10676,1.58023,1.24962,1.02933,0.009307,0.009307,0.009307
16,506.67,1.66582,1.37655,1.07423,0.29539,0.23059,0.20696,0.11173,1.55728,1.22675,1.0261,0.0092575,0.0092575,0.0092575
17,537.631,1.67262,1.379,1.06989,0.3237,0.22994,0.20725,0.113,1.55008,1.21592,1.02184,0.009208,0.009208,0.009208
18,569.16,1.65238,1.34588,1.06505,0.31132,0.23285,0.20993,0.11408,1.5389,1.2021,1.01679,0.0091585,0.0091585,0.0091585
19,600.06,1.62327,1.32858,1.05918,0.31624,0.23251,0.21357,0.11668,1.52399,1.20303,1.01651,0.009109,0.009109,0.009109
20,630.864,1.63508,1.32704,1.05547,0.31335,0.24325,0.22105,0.12026,1.52789,1.18973,1.01735,0.0090595,0.0090595,0.0090595
21,661.253,1.63084,1.32333,1.04913,0.31764,0.24466,0.22085,0.12205,1.54043,1.19485,1.00923,0.00901,0.00901,0.00901
22,692.02,1.6468,1.32321,1.04499,0.30578,0.24447,0.22435,0.1232,1.54166,1.20345,1.00355,0.0089605,0.0089605,0.0089605
23,722.527,1.64408,1.32646,1.03595,0.31429,0.24713,0.23355,0.12838,1.53331,1.19771,0.99985,0.008911,0.008911,0.008911
24,753.201,1.62421,1.30142,1.03517,0.31504,0.24696,0.22808,0.12528,1.54218,1.20094,0.99663,0.0088615,0.0088615,0.0088615
25,783.724,1.63128,1.30847,1.03229,0.34615,0.25528,0.2396,0.13129,1.52541,1.1812,0.99587,0.008812,0.008812,0.008812
26,815.543,1.61191,1.30106,1.03712,0.3656,0.25332,0.23492,0.12954,1.52038,1.18835,0.99066,0.0087625,0.0087625,0.0087625
27,846.519,1.61061,1.29458,1.0267,0.3362,0.25986,0.24357,0.13478,1.49816,1.16147,0.98676,0.008713,0.008713,0.008713
28,877.688,1.61076,1.2917,1.02897,0.34464,0.26238,0.24402,0.13424,1.50714,1.16253,0.9856,0.0086635,0.0086635,0.0086635
29,908.305,1.59642,1.27523,1.02257,0.3235,0.26558,0.2431,0.13465,1.50227,1.1641,0.98478,0.008614,0.008614,0.008614
30,938.553,1.59935,1.27952,1.01808,0.35093,0.25798,0.24664,0.13837,1.48579,1.14982,0.98045,0.0085645,0.0085645,0.0085645
31,968.823,1.59105,1.26358,1.017,0.34371,0.26898,0.25023,0.13937,1.48442,1.14988,0.98019,0.008515,0.008515,0.008515
32,999.621,1.57793,1.25018,1.01267,0.34349,0.2629,0.25006,0.13981,1.48747,1.14379,0.9774,0.0084655,0.0084655,0.0084655
33,1030.91,1.57229,1.24608,1.017,0.33974,0.26393,0.25026,0.14068,1.47443,1.13428,0.97653,0.008416,0.008416,0.008416
34,1062,1.56954,1.23931,1.01723,0.35318,0.27452,0.25583,0.14322,1.47196,1.13379,0.97658,0.0083665,0.0083665,0.0083665
35,1092.44,1.55444,1.23346,1.01139,0.36082,0.26626,0.25755,0.14475,1.46607,1.12484,0.97243,0.008317,0.008317,0.008317
36,1123.98,1.57339,1.24344,1.00633,0.34849,0.27305,0.25984,0.14577,1.46359,1.12399,0.9714,0.0082675,0.0082675,0.0082675
37,1155.51,1.56468,1.23574,1.00919,0.37223,0.26946,0.26211,0.14754,1.45474,1.11495,0.97112,0.008218,0.008218,0.008218
38,1186.5,1.56076,1.22221,1.00733,0.36048,0.27559,0.26034,0.14473,1.46522,1.117,0.97355,0.0081685,0.0081685,0.0081685
39,1218.25,1.56403,1.23551,1.00923,0.34917,0.2802,0.26174,0.14684,1.45984,1.10872,0.97035,0.008119,0.008119,0.008119
40,1249.15,1.55133,1.2121,1.00101,0.36376,0.27596,0.26234,0.14743,1.45427,1.10754,0.96896,0.0080695,0.0080695,0.0080695
41,1280.19,1.54391,1.20935,1.00556,0.36719,0.27235,0.26443,0.14875,1.44774,1.10573,0.96808,0.00802,0.00802,0.00802
42,1311.25,1.53322,1.19989,0.99682,0.35885,0.28213,0.26626,0.14998,1.44449,1.10106,0.96713,0.0079705,0.0079705,0.0079705
43,1342.15,1.53422,1.2007,0.99796,0.36541,0.28401,0.269,0.15096,1.43684,1.09964,0.96713,0.007921,0.007921,0.007921
44,1373.53,1.5417,1.2044,0.99576,0.37258,0.28642,0.27213,0.15277,1.43871,1.09526,0.96458,0.0078715,0.0078715,0.0078715
45,1404.86,1.53071,1.19569,0.99983,0.37276,0.28322,0.27146,0.15266,1.43154,1.09036,0.96332,0.007822,0.007822,0.007822
46,1435.57,1.52707,1.19354,0.99543,0.36971,0.28726,0.2757,0.15628,1.42823,1.08349,0.96193,0.0077725,0.0077725,0.0077725
47,1466.9,1.5312,1.19163,0.99986,0.37681,0.28546,0.27343,0.15378,1.43045,1.08415,0.96349,0.007723,0.007723,0.007723
48,1498.37,1.53106,1.18121,0.99639,0.37804,0.285,0.27442,0.15556,1.4284,1.0781,0.962,0.0076735,0.0076735,0.0076735
49,1528.98,1.50003,1.16193,0.99127,0.3792,0.28578,0.2739,0.15414,1.42478,1.08095,0.9603,0.007624,0.007624,0.007624
50,1560.21,1.50729,1.17038,0.99209,0.36405,0.29364,0.27876,0.15794,1.41821,1.07595,0.95868,0.0075745,0.0075745,0.0075745
51,1590.56,1.49953,1.15687,0.98977,0.37637,0.29498,0.27899,0.15805,1.41811,1.07359,0.95828,0.007525,0.007525,0.007525
52,1621.61,1.50374,1.15842,0.98941,0.38461,0.2898,0.27975,0.15815,1.41412,1.07061,0.95742,0.0074755,0.0074755,0.0074755
53,1653.37,1.50191,1.15958,0.98922,0.37263,0.29022,0.2779,0.15675,1.41376,1.07029,0.95805,0.007426,0.007426,0.007426
54,1683.59,1.51029,1.1616,0.98936,0.38037,0.29727,0.28241,0.15987,1.41269,1.06383,0.95822,0.0073765,0.0073765,0.0073765
55,1714.18,1.50695,1.161,0.98876,0.38556,0.29306,0.28287,0.16044,1.4135,1.06588,0.95721,0.007327,0.007327,0.007327
56,1744.54,1.49561,1.15176,0.98783,0.38287,0.29932,0.2854,0.16163,1.40541,1.06202,0.95539,0.0072775,0.0072775,0.0072775
57,1775.24,1.48631,1.14956,0.99016,0.39375,0.30124,0.28675,0.16342,1.40365,1.0571,0.9557,0.007228,0.007228,0.007228
58,1805.62,1.50262,1.14766,0.98774,0.38654,0.29509,0.28536,0.16165,1.40624,1.05956,0.95614,0.0071785,0.0071785,0.0071785
59,1836.41,1.49642,1.15058,0.98774,0.39765,0.29909,0.28847,0.16426,1.40052,1.0545,0.95525,0.007129,0.007129,0.007129
60,1868.23,1.48668,1.13884,0.98103,0.38759,0.2978,0.28552,0.16292,1.39912,1.05413,0.95372,0.0070795,0.0070795,0.0070795
61,1900.27,1.49323,1.14327,0.98437,0.39205,0.29874,0.28771,0.16386,1.39384,1.04944,0.95225,0.00703,0.00703,0.00703
62,1931.22,1.48289,1.1375,0.98228,0.39791,0.29845,0.28816,0.16427,1.39249,1.0464,0.9513,0.0069805,0.0069805,0.0069805
63,1962.04,1.48718,1.13362,0.98581,0.39729,0.29633,0.28833,0.16463,1.39162,1.04518,0.95191,0.006931,0.006931,0.006931
64,1993.01,1.49631,1.14083,0.9851,0.38759,0.2994,0.28812,0.16423,1.39045,1.04545,0.95174,0.0068815,0.0068815,0.0068815
65,2023.57,1.47588,1.12957,0.98189,0.39085,0.30087,0.28828,0.16453,1.389,1.04516,0.95078,0.006832,0.006832,0.006832
66,2053.67,1.47999,1.13103,0.98222,0.39343,0.29871,0.29011,0.1654,1.38822,1.04236,0.95007,0.0067825,0.0067825,0.0067825
67,2083.87,1.48155,1.12516,0.98038,0.39372,0.30256,0.28982,0.16506,1.3856,1.04104,0.9498,0.006733,0.006733,0.006733
68,2114.85,1.47476,1.12523,0.97804,0.38509,0.305,0.29208,0.16674,1.38256,1.03471,0.94857,0.0066835,0.0066835,0.0066835
69,2146.53,1.48384,1.12311,0.97614,0.38635,0.30324,0.29051,0.16652,1.38433,1.0381,0.94907,0.006634,0.006634,0.006634
70,2177.24,1.471,1.11121,0.97583,0.39724,0.30289,0.29337,0.16767,1.38066,1.03385,0.94801,0.0065845,0.0065845,0.0065845
71,2209.54,1.47675,1.11937,0.97745,0.39553,0.30638,0.29483,0.1691,1.38231,1.03714,0.94858,0.006535,0.006535,0.006535
72,2240.51,1.47297,1.11816,0.97691,0.39158,0.30383,0.29499,0.16862,1.38039,1.03606,0.94795,0.0064855,0.0064855,0.0064855
73,2272.3,1.47454,1.11107,0.9753,0.40915,0.30723,0.29873,0.17157,1.38049,1.03224,0.94824,0.006436,0.006436,0.006436
74,2303.45,1.46448,1.10507,0.97007,0.40511,0.30358,0.29571,0.16996,1.37528,1.03062,0.94644,0.0063865,0.0063865,0.0063865
75,2335.47,1.45747,1.10008,0.97314,0.40583,0.30483,0.298,0.17142,1.37738,1.02897,0.94659,0.006337,0.006337,0.006337
76,2367.82,1.4528,1.08724,0.97096,0.40494,0.30682,0.29796,0.1717,1.37317,1.02796,0.94619,0.0062875,0.0062875,0.0062875
