epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9632,4.38273,4.14902,2.77825,0.02402,0.0296,0.01314,0.00453,3.27851,3.33453,1.82717,0.0700741,0.0033251,0.0033251
2,82.1134,2.83019,2.62377,1.56543,0.07148,0.10966,0.06037,0.02571,2.4865,2.18562,1.35529,0.0400411,0.00662548,0.00662548
3,116.989,2.35376,2.13733,1.3287,0.11988,0.13259,0.08936,0.04218,2.1182,1.79825,1.22248,0.00997516,0.00989285,0.00989285
4,153.204,2.11262,1.88076,1.23605,0.18345,0.15334,0.12135,0.0618,1.859,1.60837,1.13689,0.0098515,0.0098515,0.0098515
5,188.683,1.95425,1.71492,1.17549,0.2157,0.1699,0.138,0.06861,1.84238,1.48389,1.10711,0.009802,0.009802,0.009802
6,223.455,1.84781,1.58525,1.13664,0.23036,0.19684,0.1613,0.08291,1.69125,1.37862,1.07261,0.0097525,0.0097525,0.0097525
7,259.221,1.77517,1.50482,1.11092,0.25835,0.20826,0.17783,0.09518,1.64337,1.30127,1.05577,0.009703,0.009703,0.009703
8,296.352,1.71793,1.44247,1.09643,0.28746,0.23216,0.19654,0.10519,1.59554,1.27861,1.04154,0.0096535,0.0096535,0.0096535
9,332.592,1.67779,1.39402,1.08292,0.28377,0.22713,0.19139,0.10555,1.58555,1.23859,1.03048,0.009604,0.009604,0.009604
10,367.313,1.64447,1.33545,1.06994,0.29922,0.24241,0.21205,0.11778,1.54555,1.19665,1.02114,0.0095545,0.0095545,0.0095545
11,402.14,1.61618,1.31492,1.05784,0.31835,0.24293,0.22079,0.12036,1.51146,1.19149,1.0198,0.009505,0.009505,0.009505
12,436.573,1.59877,1.29966,1.05744,0.33294,0.25923,0.23538,0.12954,1.48888,1.14957,1.00758,0.0094555,0.0094555,0.0094555
13,472.418,1.58542,1.27115,1.05132,0.33112,0.26056,0.24159,0.13262,1.47928,1.14127,1.01053,0.009406,0.009406,0.009406
14,507.341,1.56359,1.25103,1.04258,0.33645,0.26132,0.24058,0.13411,1.47402,1.13449,1.00429,0.0093565,0.0093565,0.0093565
15,543.361,1.53813,1.21786,1.02939,0.34172,0.26578,0.24641,0.13754,1.45977,1.11946,0.99913,0.009307,0.009307,0.009307
16,578.86,1.52899,1.21109,1.03322,0.3435,0.27503,0.25635,0.14349,1.43427,1.10058,0.99234,0.0092575,0.0092575,0.0092575
17,613.894,1.53449,1.21085,1.02967,0.36955,0.26775,0.25737,0.14591,1.42094,1.09133,0.98571,0.009208,0.009208,0.009208
18,649.677,1.51514,1.18108,1.02489,0.3548,0.28559,0.26654,0.1502,1.40082,1.07909,0.98015,0.0091585,0.0091585,0.0091585
19,685.274,1.48905,1.16186,1.01996,0.38377,0.28309,0.27319,0.1541,1.39813,1.06343,0.98156,0.009109,0.009109,0.009109
20,720.405,1.49541,1.15792,1.01532,0.37307,0.29173,0.27487,0.1562,1.39966,1.05678,0.98391,0.0090595,0.0090595,0.0090595
21,756.06,1.47408,1.14141,1.00994,0.36584,0.29798,0.27785,0.15762,1.38262,1.04268,0.97537,0.00901,0.00901,0.00901
22,792.142,1.47011,1.12266,1.00771,0.38154,0.30317,0.28458,0.16155,1.37782,1.04122,0.97353,0.0089605,0.0089605,0.0089605
23,827.736,1.45999,1.12095,1.00115,0.38037,0.30874,0.2887,0.16258,1.37384,1.03266,0.97442,0.008911,0.008911,0.008911
24,863.951,1.44257,1.0971,1.00177,0.39066,0.30521,0.29231,0.16596,1.36545,1.02731,0.97092,0.0088615,0.0088615,0.0088615
25,900.911,1.4482,1.10193,1.00078,0.39875,0.30249,0.29345,0.16644,1.36103,1.02113,0.97213,0.008812,0.008812,0.008812
26,937.026,1.43025,1.09606,1.00607,0.39363,0.30597,0.29452,0.1675,1.35156,1.01246,0.96775,0.0087625,0.0087625,0.0087625
27,971.792,1.42653,1.08353,0.99627,0.40409,0.30897,0.29998,0.17148,1.34428,0.99942,0.96667,0.008713,0.008713,0.008713
