epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.6458,5.49134,5.93383,4.17529,0.00107,0.00592,0.00067,0.00021,4.97663,5.0842,3.68918,0.0700741,0.0033251,0.0033251
2,153.3,3.41084,3.11158,2.15788,0.18889,0.08521,0.05519,0.02154,2.63545,2.1852,1.44575,0.0400411,0.00662548,0.00662548
3,223.846,2.31143,2.09481,1.33171,0.15859,0.12913,0.09186,0.04337,2.05333,1.75531,1.22174,0.00997516,0.00989285,0.00989285
4,293.557,2.0106,1.77427,1.20306,0.21971,0.17165,0.13685,0.07218,1.72369,1.48853,1.09889,0.0098515,0.0098515,0.0098515
5,365.331,1.82902,1.58257,1.13479,0.20705,0.1852,0.14248,0.07256,1.77529,1.41838,1.08235,0.009802,0.009802,0.009802
6,435.249,1.70841,1.43417,1.09142,0.27618,0.23841,0.20146,0.10911,1.54864,1.24046,1.0349,0.0097525,0.0097525,0.0097525
7,504.848,1.63447,1.34596,1.06715,0.3003,0.23172,0.21469,0.12054,1.51779,1.20732,1.0219,0.009703,0.009703,0.009703
8,575.45,1.57251,1.27934,1.05083,0.34433,0.26842,0.24292,0.13524,1.46912,1.14299,1.0022,0.0096535,0.0096535,0.0096535
9,645.351,1.52645,1.22663,1.0354,0.3461,0.27341,0.25195,0.14079,1.43656,1.10415,0.99307,0.009604,0.009604,0.009604
10,715.699,1.49025,1.16745,1.02289,0.36779,0.28624,0.27261,0.15516,1.3855,1.06359,0.98096,0.0095545,0.0095545,0.0095545
11,785.372,1.46129,1.14369,1.01087,0.39119,0.28841,0.28185,0.15972,1.37223,1.04564,0.97608,0.009505,0.009505,0.009505
12,855.193,1.43861,1.12441,1.00966,0.39811,0.29985,0.29397,0.16899,1.34749,1.01512,0.97046,0.0094555,0.0094555,0.0094555
13,925.236,1.42262,1.09889,1.00309,0.40602,0.30551,0.30007,0.17141,1.33342,1.005,0.96731,0.009406,0.009406,0.009406
14,995.43,1.39978,1.07384,0.99476,0.42803,0.31468,0.31469,0.1821,1.3087,0.97991,0.961,0.0093565,0.0093565,0.0093565
15,1065.49,1.37565,1.04485,0.98327,0.42722,0.31817,0.3163,0.18344,1.30031,0.97302,0.95664,0.009307,0.009307,0.009307
16,1135.54,1.36458,1.0371,0.98614,0.42591,0.32963,0.32255,0.18802,1.29487,0.96553,0.95329,0.0092575,0.0092575,0.0092575
17,1205.38,1.3675,1.03122,0.98247,0.43464,0.32789,0.32184,0.18915,1.2774,0.95322,0.94789,0.009208,0.009208,0.009208
18,1275.67,1.34943,1.00976,0.97829,0.44444,0.33252,0.33633,0.19617,1.26448,0.93537,0.94517,0.0091585,0.0091585,0.0091585
19,1345.67,1.32532,0.98784,0.97287,0.43182,0.3396,0.33427,0.19912,1.26202,0.93457,0.94645,0.009109,0.009109,0.009109
20,1415.43,1.33009,0.98088,0.96895,0.45251,0.34205,0.342,0.20194,1.25902,0.9179,0.94243,0.0090595,0.0090595,0.0090595
21,1485.61,1.3101,0.96542,0.96461,0.45618,0.34219,0.3466,0.20548,1.24678,0.91326,0.94146,0.00901,0.00901,0.00901
22,1556.06,1.30561,0.94893,0.9616,0.45091,0.35432,0.35233,0.20745,1.24254,0.91308,0.93595,0.0089605,0.0089605,0.0089605
23,1627.27,1.29481,0.94796,0.95667,0.46822,0.35643,0.35639,0.21089,1.23738,0.90096,0.93774,0.008911,0.008911,0.008911
24,1697.01,1.28174,0.9259,0.95781,0.46631,0.36132,0.36338,0.21569,1.21831,0.89043,0.93169,0.0088615,0.0088615,0.0088615
25,1767.01,1.28235,0.92624,0.95593,0.46841,0.35808,0.36128,0.21665,1.21421,0.88236,0.93156,0.008812,0.008812,0.008812
26,1837.35,1.26496,0.9185,0.95952,0.48223,0.36119,0.3683,0.22165,1.21121,0.8759,0.93068,0.0087625,0.0087625,0.0087625
27,1907.47,1.26404,0.9079,0.95315,0.47172,0.36806,0.37341,0.22426,1.20188,0.86291,0.92909,0.008713,0.008713,0.008713
28,1977.07,1.26448,0.90881,0.95487,0.47689,0.37024,0.37564,0.22784,1.19377,0.8625,0.92627,0.0086635,0.0086635,0.0086635
29,2046.63,1.25126,0.89378,0.95064,0.47439,0.37371,0.37868,0.22755,1.19711,0.85912,0.92601,0.008614,0.008614,0.008614
30,2116.82,1.24984,0.89116,0.94676,0.48002,0.37656,0.37966,0.22908,1.18415,0.85148,0.92288,0.0085645,0.0085645,0.0085645
31,2186.64,1.24337,0.88157,0.94424,0.49158,0.37783,0.38527,0.23303,1.18507,0.84957,0.92352,0.008515,0.008515,0.008515
32,2256.51,1.23676,0.87137,0.94387,0.48615,0.37838,0.3819,0.2297,1.18323,0.84846,0.92182,0.0084655,0.0084655,0.0084655
33,2324.25,1.22887,0.8674,0.94625,0.47813,0.38625,0.38753,0.23538,1.17857,0.84396,0.9231,0.008416,0.008416,0.008416
34,2394.19,1.22262,0.85715,0.94559,0.49243,0.38894,0.39258,0.23674,1.17299,0.83525,0.9206,0.0083665,0.0083665,0.0083665
35,2464.11,1.21286,0.85673,0.94177,0.50935,0.38,0.39192,0.23834,1.16614,0.84098,0.91812,0.008317,0.008317,0.008317
36,2534.02,1.22866,0.86303,0.93944,0.48863,0.38946,0.39295,0.23818,1.17061,0.8332,0.91886,0.0082675,0.0082675,0.0082675
37,2601.86,1.21708,0.8483,0.93896,0.5053,0.3895,0.39989,0.24293,1.16365,0.82415,0.91767,0.008218,0.008218,0.008218
38,2672.09,1.21545,0.83749,0.93732,0.50394,0.39409,0.4027,0.24399,1.16242,0.82265,0.91724,0.0081685,0.0081685,0.0081685
39,2741.63,1.21593,0.84658,0.94019,0.5066,0.39043,0.39771,0.24196,1.15993,0.82767,0.9169,0.008119,0.008119,0.008119
40,2809.67,1.20652,0.83108,0.93442,0.51181,0.39032,0.4008,0.244,1.15458,0.82622,0.91528,0.0080695,0.0080695,0.0080695
